Régions;Nombre de doses de vaccins administrées
01-   Bas-Saint-Laurent;3670
02 - Saguenay – Lac-Saint-Jean;6026
03 - Capitale-Nationale;19262
04 - Mauricie-et-Centre-du-Québec;8324
05 - Estrie;8126
06 - Montréal;40224
07 - Outaouais;5975
08 - Abitibi-Témiscamingue;3115
09 - Côte-Nord;2646
10 - Nord-du-Québec;128
11 - Gaspésie – Îles-de-la-Madeleine;3678
11 - Îles-de-la-Madeleine;721
12 - Chaudière-Appalaches;8726
13 - Laval;7444
14 - Lanaudière;7681
15 - Laurentides;9143
16 - Montérégie;23430
18 - Terres-Cries-de-la-Baie-James;4441
Opitciwan;580
Wemotaci;331
Manawan;382
Total;164 053
