No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,3,7,4,4,9,0,27,0.3 %
2,02 - Saguenay–Lac-Saint-Jean,1,85,72,2,80,8,248,2.7 %
3,03 - Capitale-Nationale,3,439,111,10,243,24,830,9.1 %
4,04 - Mauricie et Centre-du-Québec,6,129,150,21,94,5,405,4.4 %
5,05 - Estrie,2,109,31,14,68,10,234,2.6 %
6,06 - Montréal,200,2626,560,117,553,58,4114,45.0 %
7,07 - Outaouais,7,54,32,11,37,1,142,1.6 %
8,08 - Abitibi-Témiscamingue,0,0,4,0,1,0,5,0.1 %
9,09 - Côte-Nord,0,0,3,0,0,0,3,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie–Îles-de-la-Madeleine,0,14,18,0,13,0,45,0.5 %
12,12 - Chaudière-Appalaches,5,85,55,6,70,4,225,2.5 %
13,13 - Laval,2,483,99,50,161,6,801,8.8 %
14,14 - Lanaudière,3,241,90,8,94,2,438,4.8 %
15,15 - Laurentides,61,143,75,36,69,13,397,4.3 %
16,16 - Montérégie,13,545,241,52,362,13,1226,13.4 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,1,0,0,1,2,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),306,4960,1546,331,1854,145,9142,
9999,Ensemble du Québec (%),3.3 %,54.3 %,16.9 %,3.6 %,20.3 %,1.6 %,           .,100.0 %
