,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,20768,19,20729,39,174,0,20332,262,197738.33333,10502.77,132.55,88.00,14,874,2
02,02 - Saguenay-Lac-Saint-Jean,30390,28,30029,361,443,0,29637,310,278600,10908.11,111.27,159.01,22,1620,2
03,03 - Capitale-Nationale,88473,54,88112,361,1553,1,86197,723,761103.66667,11624.30,94.32,204.05,48,4278,7
04,04 - Mauricie et Centre-du-Québec,58869,43,58629,240,1007,0,57479,383,527666.66667,11156.48,72.23,190.84,42,3181,2
05,05 - Estrie,49635,27,49111,524,623,1,48554,458,502406,9879.46,90.16,124.00,17,2756,2
06,06 - Montréal,308958,171,305598,3360,5479,2,301695,1784,2061667.3333,14985.83,86.12,265.76,115,16149,17
07,07 - Outaouais,39766,29,39321,445,316,0,39215,235,405378.66667,9809.59,57.35,77.95,6,1854,5
08,08 - Abitibi-Témiscamingue,10981,18,10940,41,111,0,10747,123,147876.33333,7425.80,83.14,75.06,10,642,4
09,09 - Côte-Nord,8620,16,8594,26,46,0,8392,182,90082.333333,9569.02,202.97,51.06,10,498,0
10,10 - Nord-du-Québec,1502,6,1273,229,4,0,1488,10,13383.666667,11222.63,75.17,29.89,4,52,0
11,11 - Gaspésie-Îles-de-la-Madeleine,9086,20,9049,37,82,0,8882,122,90783.333333,10008.45,134.22,90.32,8,438,1
12,12 - Chaudière-Appalaches,61225,36,60942,283,668,1,60223,334,434525.66667,14090.08,76.51,153.73,25,2548,2
13,13 - Laval,71463,34,69503,1960,1116,0,70049,298,445993.33333,16023.33,66.20,250.23,28,3256,1
14,14 - Lanaudière,69731,30,69015,716,776,0,68658,297,530581,13142.39,55.31,146.25,20,2815,2
15,15 - Laurentides,79365,57,78760,605,763,0,77991,611,640046.66667,12399.88,94.19,119.21,35,3750,3
16,16 - Montérégie,149169,114,147256,1913,2238,2,145671,1260,1452381.3333,10270.65,85.90,154.09,73,8120,11
17,17 - Nunavik,3009,0,3003,6,10,0,2992,7,14619,20582.80,47.07,68.40,0,111,0
18,18 - Terres-Cries-de-la-Baie-James,2949,5,2554,395,16,0,2911,22,18660.333333,15803.58,115.97,85.74,0,101,0
98,Inconnu,0,0,0,0,0,0,0,0,.,.,.,.,0,386,0
99,Hors Québec,2947,4,2939,8,2,0,2924,21,.,.,.,.,2,0,0
999,Ensemble du Québec,1066906,711,1055357,11549,15427,7,1044037,7442,8613493.6667,12386.45,85.76,179.10,479,53429,61

