No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,3,0,3,4,5,0,15,0.2 %
2,02 - Saguenay–Lac-Saint-Jean,1,42,30,0,14,6,93,1.4 %
3,03 - Capitale-Nationale,3,233,77,3,82,5,403,5.9 %
4,04 - Mauricie et Centre-du-Québec,6,124,49,14,53,3,249,3.7 %
5,05 - Estrie,1,13,13,0,23,3,53,0.8 %
6,06 - Montréal,189,2465,356,104,438,39,3591,52.8 %
7,07 - Outaouais,5,21,13,8,19,4,70,1.0 %
8,08 - Abitibi-Témiscamingue,0,0,3,0,1,0,4,0.1 %
9,09 - Côte-Nord,0,0,2,0,0,0,2,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie–Îles-de-la-Madeleine,0,13,14,0,10,0,37,0.5 %
12,12 - Chaudière-Appalaches,5,34,28,6,38,3,114,1.7 %
13,13 - Laval,2,471,65,42,133,7,720,10.6 %
14,14 - Lanaudière,3,170,51,6,66,2,298,4.4 %
15,15 - Laurentides,59,113,55,30,61,12,330,4.8 %
16,16 - Montérégie,14,379,143,39,241,10,826,12.1 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,0,0,0,1,1,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),291,4078,902,256,1184,95,6806,
9999,Ensemble du Québec (%),4.3 %,59.9 %,13.3 %,3.8 %,17.4 %,1.4 %,           .,100.0 %
