Groupe d'âge;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
0-4 ans;359;1,3;323,8;0;
5-9 ans;319;1,1;295,5;0;
10-19 ans;1107;3,9;556,6;0;
20-29 ans;3655;13;1134,7;< 5;n.p.
30-39 ans;3679;13;1119,8;< 5;n.p.
40-49 ans;3877;13,8;1392,9;15;*5,4
50-59 ans;3489;12,4;1359,3;67;26,1
60-69 ans;2416;8,6;1115,6;219;101,1
70-79 ans;2418;8,6;1671;593;409,8
80 ans et +;6873;24,4;6802,2;2533;2506,9
Manquant;82;;;;
Total;28274;;1368,7;3434;166,2
