,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,18040,153,18001,39,127,1,16457,1456,197738.33333,9123.17,736.61,64.23,135,615,8
02,02 - Saguenay-Lac-Saint-Jean,27348,139,26987,361,385,0,25619,1344,278600,9816.22,482.42,138.19,138,1316,7
03,03 - Capitale-Nationale,81527,372,81166,361,1463,0,76655,3409,761103.66667,10711.68,444.70,192.22,378,3617,18
04,04 - Mauricie et Centre-du-Québec,53637,329,53397,240,922,1,50239,2476,527666.66667,10164.94,466.92,174.73,232,2666,6
05,05 - Estrie,45181,206,44656,525,554,3,43169,1458,502406,8992.93,287.02,110.27,183,2218,24
06,06 - Montréal,293335,717,289972,3363,5374,17,281832,6129,2061667.3333,14228.05,295.87,260.66,616,14672,28
07,07 - Outaouais,37204,117,36758,446,294,0,36060,850,405378.66667,9177.59,207.45,72.52,84,1555,18
08,08 - Abitibi-Témiscamingue,9568,73,9527,41,93,0,8817,658,147876.33333,6470.27,444.77,62.89,90,523,6
09,09 - Côte-Nord,7168,49,7142,26,42,0,6492,634,90082.333333,7957.17,707.05,46.62,64,387,5
10,10 - Nord-du-Québec,1227,11,1018,209,4,0,1195,28,13383.666667,9167.89,210.46,29.89,2,41,0
11,11 - Gaspésie-Îles-de-la-Madeleine,7871,69,7834,37,67,2,7037,767,90783.333333,8670.09,843.82,73.80,88,323,4
12,12 - Chaudière-Appalaches,57317,184,57034,283,584,1,54446,2287,434525.66667,13190.71,523.86,134.40,228,2129,21
13,13 - Laval,68155,151,66193,1962,1058,0,65991,1106,445993.33333,15281.62,245.71,237.22,112,2880,14
14,14 - Lanaudière,65604,128,64888,716,731,1,63338,1535,530581,12364.56,285.84,137.77,135,2449,16
15,15 - Laurentides,73649,285,73042,607,717,1,70713,2219,640046.66667,11506.82,342.06,112.02,198,3092,19
16,16 - Montérégie,137679,550,135768,1911,2071,3,131167,4441,1452381.3333,9479.54,302.77,142.59,425,6740,34
17,17 - Nunavik,2857,2,2852,5,10,0,2801,46,14619,19543.06,309.33,68.40,2,89,1
18,18 - Terres-Cries-de-la-Baie-James,2496,28,2113,383,14,0,2253,229,18660.333333,13375.97,1207.11,75.03,45,76,3
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0,350,3
99,Hors Québec,2782,9,2774,8,2,0,2731,49,.,.,.,.,6,0,0
999,Ensemble du Québec,992649,3572,981125,11524,14512,30,947016,31121,8613493.6667,11524.35,358.65,168.48,3161,45738,235

