No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,13,86,6,19,0,127,0.9 %
02,02 - Saguenay-Lac-Saint-Jean,0,106,139,9,121,10,385,2.7 %
03,03 - Capitale-Nationale,5,609,335,39,440,35,1463,10.1 %
04,04 - Mauricie et Centre-du-Québec,5,157,619,22,114,5,922,6.4 %
05,05 - Estrie,3,152,194,26,163,16,554,3.8 %
06,06 - Montréal,216,2820,1322,157,780,79,5374,37.0 %
07,07 - Outaouais,11,93,110,15,62,3,294,2.0 %
08,08 - Abitibi-Témiscamingue,3,27,43,6,13,1,93,0.6 %
09,09 - Côte-Nord,0,0,41,0,1,0,42,0.3 %
10,10 - Nord-du-Québec,0,0,4,0,0,0,4,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,15,39,0,13,0,67,0.5 %
12,12 - Chaudière-Appalaches,5,147,241,10,175,6,584,4.0 %
13,13 - Laval,4,531,255,59,202,7,1058,7.3 %
14,14 - Lanaudière,3,307,234,22,160,5,731,5.0 %
15,15 - Laurentides,63,247,231,64,99,13,717,4.9 %
16,16 - Montérégie,16,702,713,69,561,10,2071,14.3 %
17,17 - Nunavik,0,0,10,0,0,0,10,0.1 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,13,0,0,1,14,0.1 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,2,0,0,0,2,0.0 %
999,Ensemble du Québec (n),337,5926,4631,504,2923,191,14512,
9999,Ensemble du Québec (%),2.3 %,40.8 %,31.9 %,3.5 %,20.1 %,1.3 %,.,100.0 %

