RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.617.2,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,170,0,0,1,171,,,,
02 - Saguenay–Lac-Saint-Jean,113,0,2,0,115,,,,
03 - Capitale-Nationale,648,3,12,2,665,,,,
04 - Mauricie et Centre-du-Québec,106,0,1,24,131,,,,
05 - Estrie,94,0,16,1,111,,,,
06 - Montréal,3309,135,229,80,3753,,,,
07 - Outaouais,491,16,35,9,551,,,,
08 - Abitibi-Témiscamingue,0,177,0,0,177,,,,
09 - Côte-Nord,10,0,0,0,10,,,,
10 - Nord-du-Québec,0,1,0,0,1,,,,
11 - Gaspésie–Îles-de-la-Madeleine,8,0,0,0,8,,,,
12 - Chaudière-Appalaches,531,2,12,0,545,,,,
13 - Laval,435,13,19,6,473,,,,
14 - Lanaudière,296,33,13,4,346,,,,
15 - Laurentides,478,26,49,6,559,,,,
16 - Montérégie,351,22,136,25,534,,,,
Inconnu,0,1,0,0,1,,,,
Hors Québec,48,9,3,5,65,,,,
Ensemble du Québec,7088,438,527,163,8216,,,,
