Régions sociosanitaires;2021-07-04;2021-07-05;2021-07-06;2021-07-07;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;0;0;0;2;3 960
02 - Saguenay – Lac-Saint-Jean;0;1;0;0;11 019
03 - Capitale-Nationale;0;4;3;5;32 804
04 - Mauricie-et-Centre-du-Québec;3;1;7;0;15 202
05 - Estrie;1;7;4;3;14 910
06 - Montréal;17;14;35;25;132 917
07 - Outaouais;3;12;0;2;12 549
08 - Abitibi-Témiscamingue;0;0;0;0;1 146
09 - Côte-Nord;0;0;1;1;577
10 - Nord-du-Québec;0;0;0;0;109
11 - Gaspésie – Îles-de-la-Madeleine;0;0;0;0;2 065
12 - Chaudière-Appalaches;1;2;2;1;19 278
13 - Laval;10;7;23;19;31 718
14 - Lanaudière;3;4;8;1;24 068
15 - Laurentides;1;0;6;0;21 004
16 - Montérégie;10;13;13;5;51 455
17 - Nunavik;0;0;0;0;47
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;119
Hors Québec;0;2;1;0;478
Région à déterminer;0;0;0;0;4
Total;49;67;103;64;375 429
