Groupe d'âge;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
0-4 ans;12;126;114,7;743;676,4;0;;0;
5-9 ans;23;192;178,5;847;787,3;0;;0;
10-19 ans;38;581;292,1;3168;1592,6;0;;0;
20-29 ans;32;569;174,8;7294;2240,3;0;;< 5;n.p.
30-39 ans;22;479;145,9;6134;1868,9;0;;< 5;n.p.
40-49 ans;36;502;180,8;5904;2126,8;0;;16;* 5,8
50-59 ans;23;411;160,2;5128;1999,2;< 5;n.p.;70;27,3
60-69 ans;16;216;99,8;3371;1558,2;< 5;n.p.;230;106,3
70-79 ans;10;118;81,7;2880;1993;5;n.p.;605;418,7
80 ans et +;11;154;153,1;7309;7266,1;10;* 9,9;2601;2585,7
Manquant;< 5;< 5;;97;;0;;0;
Total;224;3351;162,2;42875;2075,6;18;* 0,9;3529;170,8
