Régions sociosanitaires;2021-05-30;2021-05-31;2021-06-01;2021-06-02;2021-06-03;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;6;3;4;1;11;3 922
02 - Saguenay – Lac-Saint-Jean;7;5;17;10;21;10 949
03 - Capitale-Nationale;16;9;15;14;9;32 625
04 - Mauricie-et-Centre-du-Québec;3;9;9;9;8;15 104
05 - Estrie;20;28;16;6;14;14 767
06 - Montréal;79;35;99;100;89;131 496
07 - Outaouais;16;18;8;6;11;12 244
08 - Abitibi-Témiscamingue;0;1;0;0;2;1 116
09 - Côte-Nord;0;0;1;0;0;572
10 - Nord-du-Québec;0;0;0;0;0;109
11 - Gaspésie – Îles-de-la-Madeleine;3;2;0;0;1;2 020
12 - Chaudière-Appalaches;31;28;28;27;34;19 015
13 - Laval;17;11;20;18;20;31 286
14 - Lanaudière;9;14;15;10;6;23 821
15 - Laurentides;13;11;26;12;12;20 812
16 - Montérégie;56;34;27;45;37;50 892
17 - Nunavik;0;0;0;0;0;47
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;0;119
Hors Québec;0;0;3;9;4;442
Région à déterminer;0;0;0;0;0;3
Total;276;208;288;267;279;371 361
