No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,3,7,4,4,6,0,24,0.3 %
2,02 - Saguenay–Lac-Saint-Jean,1,64,65,0,58,6,194,2.5 %
3,03 - Capitale-Nationale,3,311,93,6,164,16,593,7.6 %
4,04 - Mauricie et Centre-du-Québec,6,124,101,20,76,5,332,4.3 %
5,05 - Estrie,2,63,18,3,35,6,127,1.6 %
6,06 - Montréal,198,2533,411,107,466,49,3764,48.3 %
7,07 - Outaouais,7,25,25,11,31,0,99,1.3 %
8,08 - Abitibi-Témiscamingue,0,0,3,0,1,0,4,0.1 %
9,09 - Côte-Nord,0,0,3,0,0,0,3,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie–Îles-de-la-Madeleine,0,14,15,0,13,0,42,0.5 %
12,12 - Chaudière-Appalaches,5,58,42,6,48,4,163,2.1 %
13,13 - Laval,2,472,70,43,145,6,738,9.5 %
14,14 - Lanaudière,3,214,70,7,83,2,379,4.9 %
15,15 - Laurentides,59,125,61,30,63,12,350,4.5 %
16,16 - Montérégie,13,459,176,45,276,12,981,12.6 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,0,0,0,1,1,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),302,4469,1157,282,1465,119,7794,
9999,Ensemble du Québec (%),3.9 %,57.3 %,14.8 %,3.6 %,18.8 %,1.5 %,           .,100.0 %
