Régions;Nombre de doses de vaccins administrées
01-   Bas-Saint-Laurent;5589
02 - Saguenay – Lac-Saint-Jean;9121
03 - Capitale-Nationale;26456
04 - Mauricie-et-Centre-du-Québec;13700
05 - Estrie;11070
06 - Montréal;72 265
07 - Outaouais;8607
08 - Abitibi-Témiscamingue;5608
09 - Côte-Nord;6739
10 - Nord-du-Québec;5273
11 - Gaspésie – Îles-de-la-Madeleine;7071
12 - Chaudière-Appalaches;10714
13 - Laval;9638
14 - Lanaudière;11281
15 - Laurentides;12546
16 - Montérégie;35276
17 - Nunavik;1247
18 - Terres-Cries-de-la-Baie-James;9338
Inconnu;1055
Total;262 594
