No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,13,191,8,26,0,241,1.3 %
02,02 - Saguenay-Lac-Saint-Jean,0,177,209,13,163,12,574,3.2 %
03,03 - Capitale-Nationale,9,693,516,42,513,42,1815,10.1 %
04,04 - Mauricie et Centre-du-Québec,4,158,939,23,114,5,1243,6.9 %
05,05 - Estrie,4,213,321,29,221,17,805,4.5 %
06,06 - Montréal,220,2909,1623,163,860,82,5857,32.7 %
07,07 - Outaouais,11,108,174,18,77,9,397,2.2 %
08,08 - Abitibi-Témiscamingue,3,42,69,6,20,1,141,0.8 %
09,09 - Côte-Nord,0,0,61,0,1,0,62,0.3 %
10,10 - Nord-du-Québec,0,0,8,0,0,0,8,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,16,69,0,13,0,98,0.5 %
12,12 - Chaudière-Appalaches,6,200,344,11,210,7,778,4.3 %
13,13 - Laval,6,584,352,65,241,12,1260,7.0 %
14,14 - Lanaudière,3,355,337,26,194,6,921,5.1 %
15,15 - Laurentides,64,293,403,70,137,14,981,5.5 %
16,16 - Montérégie,16,743,1183,81,653,13,2689,15.0 %
17,17 - Nunavik,0,0,11,0,0,0,11,0.1 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,20,0,0,1,21,0.1 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,2,0,0,0,2,0.0 %
999,Ensemble du Québec (n),349,6504,6832,555,3443,221,17904,
9999,Ensemble du Québec (%),1.9 %,36.3 %,38.2 %,3.1 %,19.2 %,1.2 %,.,100.0 %

