,,Nombre de cas confirmé,,,Nombre de décès,,,,,,Nombre d'hospitalisations,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée,Total,Confirmé dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée,Population en 2023,Cas de COVID-19 par 100 000,Décès par COVID-19 par 100 000,Total,Différence dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée
01,01 - Bas-Saint-Laurent,28761,15,100,241,1,1,197711.75,.,.,1770,0,12
02,02 - Saguenay-Lac-Saint-Jean,39781,4,80,574,0,2,278592,.,.,2640,2,10
03,03 - Capitale-Nationale,111397,42,423,1815,4,4,764046,.,.,7027,4,81
04,04 - Mauricie et Centre-du-Québec,74872,42,354,1243,1,3,529059,.,.,5547,8,46
05,05 - Estrie,64303,33,212,805,0,0,505113.5,.,.,4510,1,31
06,06 - Montréal,355086,102,688,5857,3,15,2071106.5,.,.,22236,36,132
07,07 - Outaouais,44807,16,134,397,0,4,407561.5,.,.,2884,3,44
08,08 - Abitibi-Témiscamingue,14256,4,42,141,1,1,147930.5,.,.,1240,0,9
09,09 - Côte-Nord,13009,14,74,62,0,0,89827,.,.,1006,1,8
10,10 - Nord-du-Québec,1903,4,6,8,1,0,13343.75,.,.,95,0,0
11,11 - Gaspésie-Îles-de-la-Madeleine,13054,12,58,98,0,0,90804.25,.,.,852,0,7
12,12 - Chaudière-Appalaches,75490,24,175,778,0,0,435584,.,.,4218,8,58
13,13 - Laval,81982,29,199,1260,1,5,448179,.,.,4725,8,30
14,14 - Lanaudière,83559,26,176,921,1,4,533618.75,.,.,4410,4,36
15,15 - Laurentides,98083,38,281,981,1,5,644211.25,.,.,6361,10,51
16,16 - Montérégie,184632,113,619,2689,5,8,1459512.5,.,.,13385,15,108
17,17 - Nunavik,3604,1,4,11,0,0,14733.25,.,.,159,0,1
18,18 - Terres-Cries-de-la-Baie-James,2993,3,12,21,0,2,18810.5,.,.,160,1,4
98,Inconnu,1234,0,9,0,0,0,.,.,.,545,2,7
99,Hors Québec,7304,1,5,2,0,0,.,.,.,0,0,0
999,Ensemble du Québec,1300110,523,3651,17904,19,54,8649745,.,.,83770,103,675

