,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,16626,77,16587,39,115,0,15521,990,197738.33333,8408.08,500.85,58.16,48
02,02 - Saguenay-Lac-Saint-Jean,25884,73,25523,361,365,0,24633,886,278600,9290.74,318.02,131.01,62
03,03 - Capitale-Nationale,77793,215,77432,361,1444,0,74054,2295,761103.66667,10221.08,299.38,189.72,114
04,04 - Mauricie et Centre-du-Québec,51081,110,50841,240,908,1,48695,1478,527666.66667,9680.54,278.72,172.08,101
05,05 - Estrie,43455,82,42930,525,549,-1,42084,822,502406,8649.38,161.82,109.27,45
06,06 - Montréal,286670,265,283306,3364,5339,0,278002,3329,2061667.3333,13904.77,160.71,258.97,211
07,07 - Outaouais,36268,38,35823,445,291,0,35513,464,405378.66667,8946.70,113.24,71.78,28
08,08 - Abitibi-Témiscamingue,8726,52,8685,41,81,0,8134,511,147876.33333,5900.88,345.41,54.78,32
09,09 - Côte-Nord,6589,36,6563,26,39,0,5964,586,90082.333333,7314.42,653.52,43.29,62
10,10 - Nord-du-Québec,1178,0,969,209,4,0,1156,18,13383.666667,8801.77,135.30,29.89,7
11,11 - Gaspésie-Îles-de-la-Madeleine,6978,88,6942,36,60,0,6084,834,90783.333333,7686.43,917.53,66.09,36
12,12 - Chaudière-Appalaches,55120,145,54837,283,570,1,52927,1623,434525.66667,12685.10,371.76,131.18,117
13,13 - Laval,66909,52,64946,1963,1053,0,65335,521,445993.33333,15002.24,115.75,236.10,40
14,14 - Lanaudière,63946,81,63230,716,724,0,62468,754,530581,12052.07,140.41,136.45,54
15,15 - Laurentides,71286,58,70679,607,709,0,69585,992,640046.66667,11137.63,152.92,110.77,90
16,16 - Montérégie,132962,231,131053,1909,2048,0,128725,2189,1452381.3333,9154.76,149.24,141.01,129
17,17 - Nunavik,2813,0,2809,4,10,0,2754,49,14619,19242.08,329.50,68.40,6
18,18 - Terres-Cries-de-la-Baie-James,2207,3,1835,372,14,0,2086,107,18660.333333,11827.23,564.02,75.03,4
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,2717,8,2709,8,2,0,2671,44,.,.,.,.,2
999,Ensemble du Québec,959212,1614,947702,11510,14325,1,926395,18492,8613493.6667,11136.15,213.11,166.31,1188

