No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,13,75,6,18,0,115,0.8 %
02,02 - Saguenay-Lac-Saint-Jean,0,104,129,9,114,9,365,2.5 %
03,03 - Capitale-Nationale,5,607,326,39,432,35,1444,10.1 %
04,04 - Mauricie et Centre-du-Québec,5,157,605,22,114,5,908,6.3 %
05,05 - Estrie,3,151,194,26,160,15,549,3.8 %
06,06 - Montréal,215,2810,1307,157,771,79,5339,37.3 %
07,07 - Outaouais,11,93,108,15,61,3,291,2.0 %
08,08 - Abitibi-Témiscamingue,3,23,43,3,9,0,81,0.6 %
09,09 - Côte-Nord,0,0,38,0,1,0,39,0.3 %
10,10 - Nord-du-Québec,0,0,4,0,0,0,4,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,15,32,0,13,0,60,0.4 %
12,12 - Chaudière-Appalaches,5,146,233,10,170,6,570,4.0 %
13,13 - Laval,4,531,252,59,200,7,1053,7.4 %
14,14 - Lanaudière,3,307,228,22,159,5,724,5.1 %
15,15 - Laurentides,63,244,226,64,99,13,709,4.9 %
16,16 - Montérégie,16,697,701,69,555,10,2048,14.3 %
17,17 - Nunavik,0,0,10,0,0,0,10,0.1 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,13,0,0,1,14,0.1 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,2,0,0,0,2,0.0 %
999,Ensemble du Québec (n),336,5898,4526,501,2876,188,14325,
9999,Ensemble du Québec (%),2.3 %,41.2 %,31.6 %,3.5 %,20.1 %,1.3 %,.,100.0 %

