RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.617.2,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,173,0,0,1,174,,,,
02 - Saguenay–Lac-Saint-Jean,117,0,2,0,119,,,,
03 - Capitale-Nationale,649,3,12,2,666,,,,
04 - Mauricie et Centre-du-Québec,110,0,1,25,136,,,,
05 - Estrie,97,0,17,2,116,,,,
06 - Montréal,3319,137,248,91,3795,,,,
07 - Outaouais,491,16,35,11,553,,,,
08 - Abitibi-Témiscamingue,0,177,0,0,177,,,,
09 - Côte-Nord,10,0,0,0,10,,,,
10 - Nord-du-Québec,0,1,0,0,1,,,,
11 - Gaspésie–Îles-de-la-Madeleine,8,0,0,0,8,,,,
12 - Chaudière-Appalaches,554,2,12,0,568,,,,
13 - Laval,435,13,19,8,475,,,,
14 - Lanaudière,298,33,13,4,348,,,,
15 - Laurentides,487,28,49,5,569,,,,
16 - Montérégie,359,25,138,29,551,,,,
Inconnu,0,1,0,0,1,,,,
Hors Québec,50,9,3,5,67,,,,
Ensemble du Québec,7157,445,549,183,8334,,,,
