Régions sociosanitaires;2021-05-16;2021-05-17;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;25;25;3 747
02 - Saguenay – Lac-Saint-Jean;28;8;10 677
03 - Capitale-Nationale;18;28;32 266
04 - Mauricie-et-Centre-du-Québec;25;30;14 840
05 - Estrie;29;43;14 200
06 - Montréal;189;173;129 244
07 - Outaouais;19;26;11 883
08 - Abitibi-Témiscamingue;0;0;1 107
09 - Côte-Nord;6;0;566
10 - Nord-du-Québec;0;0;102
11 - Gaspésie – Îles-de-la-Madeleine;3;7;1 947
12 - Chaudière-Appalaches;50;65;18 437
13 - Laval;43;52;30 818
14 - Lanaudière;29;15;23 563
15 - Laurentides;21;28;20 420
16 - Montérégie;63;54;50 013
17 - Nunavik;0;0;47
18 - Terres-Cries-de-la-Baie-James;0;-1;119
Hors Québec;3;2;397
Région à déterminer;0;-6;3
Total;551;549;364 396
