Groupe d'âge;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
0-4 ans;n.d.;160;145,7;4565;4156;0;;0;
5-9 ans;n.d.;225;209,1;6123;5691,6;0;;0;
10-19 ans;n.d.;590;296,6;14133;7105;0;;0;
20-29 ans;n.d.;587;180,3;21558;6621,4;0;;< 5;n.p.
30-39 ans;n.d.;449;136,8;19778;6026;0;;7;n.p.
40-49 ans;n.d.;438;157,8;19213;6921,2;< 5;n.p.;21;* 7,6
50-59 ans;n.d.;359;140;15820;6167,6;< 5;n.p.;97;37,8
60-69 ans;n.d.;169;78,1;9726;4495,8;< 5;n.p.;319;147,5
70-79 ans;n.d.;64;44,3;6352;4395,6;7;n.p.;825;570,9
80 ans et +;n.d.;91;90,5;11879;11809,2;15;* 14,9;3442;3421,8
Manquant;n.d.;< 5;;97;;0;;0;
Total;173;3133;151,7;129244;6256,8;30;* 1,5;4714;228,2
