RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,144,0,0,0,144,1136,577.25,"88,5","89,1"
02 - Saguenay–Lac-Saint-Jean,28,0,1,0,29,728,262.46,"93,6","95,7"
03 - Capitale-Nationale,492,3,4,18,517,7631,"1,003.88","99,3","87,5"
04 - Mauricie et Centre-du-Québec,54,0,0,2,56,1191,227.15,"97,0","91,4"
05 - Estrie,89,0,13,1,103,1754,353.08,"98,1","90,7"
06 - Montréal,3024,91,97,42,3254,11379,547.47,"86,5","90,0"
07 - Outaouais,413,11,22,7,453,3349,828.03,"97,2","99,0"
08 - Abitibi-Témiscamingue,0,165,0,0,165,240,162.54,"66,7","100,0"
09 - Côte-Nord,5,0,0,0,5,148,165.61,"78,6","90,9"
10 - Nord-du-Québec,0,0,0,0,0,9,66.74,"66,7","100,0"
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,120,133.86,"92,3","91,7"
12 - Chaudière-Appalaches,223,0,6,0,229,2984,690.88,"90,6","87,7"
13 - Laval,349,12,7,7,375,2781,622.74,"94,0","89,3"
14 - Lanaudière,253,17,4,8,282,1442,274.85,"82,6","94,0"
15 - Laurentides,356,11,34,9,410,2150,339.38,"81,2","91,2"
16 - Montérégie,200,11,81,7,299,3539,245.13,"87,5","86,5"
Inconnu,0,1,0,0,1,713,,"100,0","100,0"
Hors Québec,33,7,1,1,42,79,,"91,7","81,8"
Ensemble du Québec,5663,329,270,102,6364,41373,481.54,"90,1","90,0"
