RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.617,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,169,0,0,0,169,1246,633.15,84.2,75
02 - Saguenay–Lac-Saint-Jean,82,0,2,0,84,1003,361.60,97.8,93.3
03 - Capitale-Nationale,624,3,9,0,636,7974,"1,049.01",96.1,89.8
04 - Mauricie et Centre-du-Québec,102,0,0,3,105,1385,264.15,100,41.4
05 - Estrie,92,0,15,1,108,2388,480.71,98.5,87.7
06 - Montréal,3226,123,207,20,3576,14060,676.46,89.5,88
07 - Outaouais,481,16,33,0,530,3794,938.05,97.4,94.6
08 - Abitibi-Témiscamingue,0,177,0,0,177,261,176.76,94.1,93.8
09 - Côte-Nord,10,0,0,0,10,150,167.85,.,.
10 - Nord-du-Québec,0,1,0,0,1,16,118.65,.,.
11 - Gaspésie–Îles-de-la-Madeleine,8,0,0,0,8,181,201.90,100,100
12 - Chaudière-Appalaches,478,2,11,0,491,3412,789.98,96.4,77.4
13 - Laval,417,13,18,1,449,3157,706.94,96.2,90.2
14 - Lanaudière,282,32,11,0,325,1685,321.17,93.8,83.3
15 - Laurentides,447,16,47,0,510,2508,395.89,85.2,93.5
16 - Montérégie,324,17,129,7,477,4307,298.33,91,90.1
Inconnu,0,1,0,0,1,718,,.,.
Hors Québec,47,9,3,2,61,101,,100,100
Ensemble du Québec,6789,410,485,34,7718,48346,562.69,92.5,86.9
