Régions sociosanitaires;2021-06-06;2021-06-07;2021-06-08;2021-06-09;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;3;4;4;1;3 936
02 - Saguenay – Lac-Saint-Jean;10;5;5;5;10 994
03 - Capitale-Nationale;6;6;16;5;32 680
04 - Mauricie-et-Centre-du-Québec;10;4;6;8;15 148
05 - Estrie;15;1;2;10;14 819
06 - Montréal;66;49;61;52;131 847
07 - Outaouais;16;17;7;21;12 328
08 - Abitibi-Témiscamingue;9;1;1;1;1 133
09 - Côte-Nord;0;0;0;0;572
10 - Nord-du-Québec;0;0;0;0;109
11 - Gaspésie – Îles-de-la-Madeleine;3;2;5;4;2 035
12 - Chaudière-Appalaches;11;16;21;19;19 138
13 - Laval;9;5;10;13;31 351
14 - Lanaudière;4;10;9;7;23 862
15 - Laurentides;5;10;11;11;20 871
16 - Montérégie;26;17;20;32;51 035
17 - Nunavik;0;0;0;0;47
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;119
Hors Québec;0;3;0;0;449
Région à déterminer;0;0;0;0;3
Total;193;150;178;189;372 476
