RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,72,0,0,0,72,1031,523.90,90.6,91.4
02 - Saguenay–Lac-Saint-Jean,20,0,0,0,20,536,193.24,95.1,92.3
03 - Capitale-Nationale,255,2,1,7,265,7234,951.66,97,90.8
04 - Mauricie et Centre-du-Québec,39,0,0,0,39,973,185.57,91.9,92.2
05 - Estrie,80,0,2,0,82,1363,274.37,96.7,94.2
06 - Montréal,2375,41,19,12,2447,9972,479.78,79.8,89.3
07 - Outaouais,347,4,3,6,360,3111,769.18,94,98.4
08 - Abitibi-Témiscamingue,0,143,0,0,143,238,161.18,50,100
09 - Côte-Nord,5,0,0,0,5,134,149.94,95.7,81.8
10 - Nord-du-Québec,0,0,0,0,0,2,14.83,.,.
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,85,94.82,100,65.4
12 - Chaudière-Appalaches,146,0,3,0,149,2538,587.62,93.3,86.7
13 - Laval,270,8,0,5,283,2450,548.62,81.2,90.1
14 - Lanaudière,206,5,1,6,218,1271,242.26,85.6,88
15 - Laurentides,250,7,6,3,266,1893,298.81,85.5,95.5
16 - Montérégie,149,5,27,1,182,2987,206.90,78,88.7
Inconnu,0,1,0,0,1,708,,75,100
Hors Québec,15,1,0,1,17,66,,100,100
Ensemble du Québec,4229,217,62,41,4549,36592,425.89,86.9,90.3
