,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,3397,48,3376,21,39,0,2942,416,196934.5,1724.94,211.39,19.80
02,02 - Saguenay-Lac-Saint-Jean,10453,19,10239,214,266,0,10007,180,277505,3766.78,64.89,95.85
03,03 - Capitale-Nationale,31841,62,31490,351,1095,1,30005,741,757803,4201.75,97.48,144.50
04,04 - Mauricie et Centre-du-Québec,14550,44,14312,238,513,0,13687,350,523331.5,2780.26,66.75,98.03
05,05 - Estrie,13774,77,13265,509,334,0,12887,553,494966.5,2782.81,111.32,67.48
06,06 - Montréal,127424,282,124503,2921,4690,2,120283,2451,2072060.5,6149.63,117.92,226.34
07,07 - Outaouais,11652,36,11204,448,205,0,11116,331,402744,2893.15,81.84,50.90
08,08 - Abitibi-Témiscamingue,1102,1,1069,33,9,0,1089,4,147637,746.43,2.71,6.10
09,09 - Côte-Nord,547,0,529,18,3,0,515,29,89700.5,609.81,32.45,3.34
10,10 - Nord-du-Québec,95,1,93,2,0,0,93,2,13521.5,702.58,14.83,0.00
11,11 - Gaspésie-Îles-de-la-Madeleine,1898,11,1879,19,45,0,1786,67,89823,2113.04,74.74,50.10
12,12 - Chaudière-Appalaches,17774,112,17497,277,331,1,16444,999,431109.5,4122.85,231.30,76.78
13,13 - Laval,30324,54,28549,1775,904,1,28858,562,444658.5,6819.62,125.85,203.30
14,14 - Lanaudière,23343,27,22631,712,511,1,22482,350,522367,4468.70,66.71,97.82
15,15 - Laurentides,20120,47,19516,604,499,0,19285,336,630238,3192.44,53.04,79.18
16,16 - Montérégie,49293,138,47350,1943,1540,0,46622,1131,1438226,3427.35,78.34,107.08
17,17 - Nunavik,46,0,44,2,0,0,46,0,14336.5,320.86,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,3,0,116,0,18507,643.00,0.00,16.21
98,Inconnu,9,0,9,0,0,0,3,6,.,.,.,.
99,Hors Québec,373,1,368,5,0,0,362,11,.,.,.,.
999,Ensemble du Québec,358134,960,348042,10092,10987,6,338628,8519,8565469.5,4181.14,99.15,128.27

