"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;65542
02 - Saguenay - Lac-Saint-Jean;86840
03 - Capitale-Nationale;232302
04 - Mauricie et Centre-du-Québec;150789
05 - Estrie;137038
06 - Montréal;695383
07 - Outaouais;112132
08 - Abitibi-Témiscamingue;38042
09 - Côte-Nord;38562
10 - Nord-du-Québec;9884
11 - Gaspésie - Îles-de-la-Madeleine;41460
12 - Chaudière-Appalaches;130070
13 - Laval;124233
14 - Lanaudière;147389
15 - Laurentides;167424
16 - Montérégie;385036
17 - Nunavik;7664
18 - Terres-Cries-de-la-Baie-James;17534
Inconnue;2358
Total;2589682
