RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.617,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,169,0,0,0,169,1251,635.69,"66,7","50,0"
02 - Saguenay–Lac-Saint-Jean,85,0,2,0,87,1010,364.12,"100,0","100,0"
03 - Capitale-Nationale,624,3,9,0,636,8021,"1,055.19","100,0","86,5"
04 - Mauricie et Centre-du-Québec,103,0,0,3,106,1399,266.82,"100,0","66,7"
05 - Estrie,93,0,16,1,110,2427,488.56,"90,6","75,9"
06 - Montréal,3231,124,213,21,3589,14351,690.46,"88,1","89,1"
07 - Outaouais,481,16,34,0,531,3859,954.12,"97,7","95,3"
08 - Abitibi-Témiscamingue,0,177,0,0,177,268,181.50,"100,0","85,7"
09 - Côte-Nord,10,0,0,0,10,150,167.85,"0,0",.
10 - Nord-du-Québec,0,1,0,0,1,16,118.65,.,.
11 - Gaspésie–Îles-de-la-Madeleine,8,0,0,0,8,191,213.06,"75,0","83,3"
12 - Chaudière-Appalaches,499,2,11,0,512,3498,809.89,"100,0","85,3"
13 - Laval,417,13,18,1,449,3242,725.97,"97,0","93,8"
14 - Lanaudière,286,32,11,0,329,1758,335.09,"81,3","80,8"
15 - Laurentides,453,16,47,0,516,2551,402.68,"82,9","61,8"
16 - Montérégie,327,17,129,7,480,4407,305.26,"88,4","86,9"
Inconnu,0,1,0,0,1,719,,100,100
Hors Québec,47,9,3,2,61,104,,100,100
Ensemble du Québec,6833,411,493,35,7772,49222,572.89,"90,0",86.1
