Régions;Nombre de doses de vaccins administrées
01-   Bas-Saint-Laurent;12117
02 - Saguenay – Lac-Saint-Jean;14235
03 - Capitale-Nationale;41963
04 - Mauricie-et-Centre-du-Québec;26441
05 - Estrie;21168
06 - Montréal;146 200
07 - Outaouais;13306
08 - Abitibi-Témiscamingue;10934
09 - Côte-Nord;17 441
10 - Nord-du-Québec;8243
11 - Gaspésie – Îles-de-la-Madeleine;9903
12 - Chaudière-Appalaches;22292
13 - Laval;21926
14 - Lanaudière;23587
15 - Laurentides;23819
16 - Montérégie;60319
17 - Nunavik;4715
18 - Terres-Cries-de-la-Baie-James;10195
Inconnu;1700
Total;490 504
