No,RSS,CH,CHSLD,Domicile,RI,RPA,Autre,Inconnu,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,1,, 1,,,,,2,"0,0%"
2,02 - Saguenay – Lac-St-Jean,,21,,,,5,,26,"0,6%"
3,03 - Capitale-Nationale,3,65, 7,,28,,,103,"2,4%"
4,04 - Mauricie - Centre du Québec,5,105, 24,12,40,,,186,"4,3%"
5,05 - Estrie,,1, 6,,15,3,,25,"0,6%"
6,06 - Montréal,155,1896, 213,55,343,23,5,2690,"61,7%"
7,07 - Outaouais,4,8, 3,3,,,,18,"0,4%"
8,08 - Abitibi-Témiscamingue,,, 2,,1,,,3,"0,1%"
9,09 - Côte-Nord,,,,,,,,0,"0,0%"
10,10 - Nord-du-Québec,,,,,,,,0,"0,0%"
11,11 - Gaspésie - Îles-de-la-Madeleine,,2, 1,,5,,,8,"0,2%"
12,12 - Chaudière-Appalaches,1,,,,7,,,8,"0,2%"
13,13 - Laval,1,397, 46,37,109,5,,595,"13,6%"
14,14 - Lanaudière,4,97, 32,4,45,,,182,"4,2%"
15,15 - Laurentides,23,55, 6,13,33,,,130,"3,0%"
16,16 - Montérégie,19,139, 62,18,140,4,5,387,"8,9%"
17,17 - Nunavik,,,,,,,,0,"0,0%"
18,18 - Terres-Cries-de-la-Baie-James,,,,,,,,0,"0,0%"
99,Inconnu,,,,,,,,0,"0,0%"
999,Ensemble du Québec (n),216,2786, 403,142,766,40,10,4363,
9999,Ensemble du Québec (%),"5,0%","63,9%","9,2%","3,3%","17,6%","0,9%","0,2%",,"100,0%"
