Regroupement,Croisement,Nom,cas_tot_n,cas_0cond_n,cas_0cond_p,cas_1cond_n,cas_1cond_p,cas_2cond_n,cas_2cond_p,dec_tot_n,dec_0cond_n,dec_0cond_p,dec_1cond_n,dec_1cond_p,dec_2cond_n,dec_2cond_p
Région,RSS01,01 - Bas-Saint-Laurent,     12713,      7634,       60.0,      2575,       20.3,      2504,       19.7,        91,         5,        5.5,         7,        7.7,        79,       86.8
Région,RSS02,02 - Saguenay–Lac-Saint-Jean,     21730,     11728,       54.0,      4948,       22.8,      5054,       23.3,       318,n.d.,n.d.,n.d.,n.d.,       299,       94.0
Région,RSS03,03 - Capitale-Nationale,     65529,     39588,       60.4,     12760,       19.5,     13181,       20.1,      1307,        25,        1.9,        93,        7.1,      1189,       91.0
Région,RSS04,04 - Mauricie et Centre-du-Québec,     44097,     26251,       59.5,      8409,       19.1,      9437,       21.4,       795,        20,        2.5,        35,        4.4,       740,       93.1
Région,RSS05,05 - Estrie,     38309,     23022,       60.1,      7697,       20.1,      7590,       19.8,       502,        21,        4.2,        28,        5.6,       453,       90.2
Région,RSS06,06 - Montréal,    240179,    149470,       62.2,     42961,       17.9,     47748,       19.9,      5132,       145,        2.8,       244,        4.8,      4743,       92.4
Région,RSS07,07 - Outaouais,     30757,     20748,       67.5,      5231,       17.0,      4778,       15.5,       266,         8,        3.0,        13,        4.9,       245,       92.1
Région,RSS08,08 - Abitibi-Témiscamingue,      6193,      3547,       57.3,      1299,       21.0,      1347,       21.8,        51,n.d.,n.d.,n.d.,n.d.,        43,       84.3
Région,RSS09,09 - Côte-Nord,      4114,      2485,       60.4,       758,       18.4,       871,       21.2,        14,n.d.,n.d.,n.d.,n.d.,        11,       78.6
Région,RSS10,10 - Nord-du-Québec,       830,       546,       65.8,       144,       17.3,       140,       16.9,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS11,11 - Gaspésie–Îles-de-la-Madeleine,      4617,      2565,       55.6,       939,       20.3,      1113,       24.1,        50,n.d.,n.d.,n.d.,n.d.,        46,       92.0
Région,RSS12,12 - Chaudière-Appalaches,     48200,     30362,       63.0,      9164,       19.0,      8674,       18.0,       502,        10,        2.0,        34,        6.8,       458,       91.2
Région,RSS13,13 - Laval,     61580,     39200,       63.7,     11990,       19.5,     10390,       16.9,      1005,        10,        1.0,        57,        5.7,       938,       93.3
Région,RSS14,14 - Lanaudière,     59033,     37111,       62.9,     11786,       20.0,     10136,       17.2,       675,        16,        2.4,        29,        4.3,       630,       93.3
Région,RSS15,15 - Laurentides,     63678,     40464,       63.5,     12244,       19.2,     10970,       17.2,       649,        16,        2.5,        24,        3.7,       609,       93.8
Région,RSS16,16 - Montérégie,    118876,     72075,       60.6,     23166,       19.5,     23635,       19.9,      1940,        40,        2.1,        93,        4.8,      1807,       93.1
Région,RSS17,17 - Nunavik,      2138,      1363,       63.8,       340,       15.9,       435,       20.3,         9,n.d.,n.d.,n.d.,n.d.,         8,       88.9
Région,RSS18,18 - Terres-Cries-de-la-Baie-James,      1749,      1154,       66.0,       269,       15.4,       326,       18.6,         9,n.d.,n.d.,n.d.,n.d.,         8,       88.9
Région,RSS997,Total Québec jumelés,    824510,    509464,       61.8,    156706,       19.0,    158340,       19.2,     13316,       328,        2.5,       681,        5.1,     12307,       92.4
Groupe d'âge,0_9,Moins de 10 ans,     74572,     63399,       85.0,      8994,       12.1,      2179,        2.9,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,10_19,10-19 ans,    100656,     83710,       83.2,     13993,       13.9,      2953,        2.9,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,20_29,20-29 ans,    135126,    108193,       80.1,     19851,       14.7,      7082,        5.2,        10,n.d.,n.d.,n.d.,n.d.,         6,       60.0
Groupe d'âge,30_39,30-39 ans,    131517,     91136,       69.3,     27460,       20.9,     12921,        9.8,        30,n.d.,n.d.,n.d.,n.d.,        24,       80.0
Groupe d'âge,40_49,40-49 ans,    130245,     82190,       63.1,     30772,       23.6,     17283,       13.3,        77,        18,       23.4,        14,       18.2,        45,       58.4
Groupe d'âge,50_59,50-59 ans,    104348,     53520,       51.3,     28342,       27.2,     22486,       21.5,       293,        28,        9.6,        31,       10.6,       234,       79.9
Groupe d'âge,60_69,60-69 ans,     60592,     21021,       34.7,     16430,       27.1,     23141,       38.2,       921,        59,        6.4,        83,        9.0,       779,       84.6
Groupe d'âge,70_79,70-79 ans,     35192,      4496,       12.8,      6416,       18.2,     24280,       69.0,      2684,        61,        2.3,       164,        6.1,      2459,       91.6
Groupe d'âge,80_89,80-89 ans,     33352,      1292,        3.9,      3136,        9.4,     28924,       86.7,      5155,        77,        1.5,       226,        4.4,      4852,       94.1
Groupe d'âge,90_,90 ans et plus,     18910,       507,        2.7,      1312,        6.9,     17091,       90.4,      4142,        77,        1.9,       159,        3.8,      3906,       94.3
