No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,13,52,5,17,0,90,0.7 %
02,02 - Saguenay-Lac-Saint-Jean,0,96,110,7,98,9,320,2.4 %
03,03 - Capitale-Nationale,5,570,282,37,395,30,1319,9.8 %
04,04 - Mauricie et Centre-du-Québec,5,156,500,22,110,5,798,5.9 %
05,05 - Estrie,3,140,185,22,144,13,507,3.8 %
06,06 - Montréal,214,2797,1247,151,757,77,5243,38.9 %
07,07 - Outaouais,11,89,93,15,60,3,271,2.0 %
08,08 - Abitibi-Témiscamingue,2,9,32,2,6,0,51,0.4 %
09,09 - Côte-Nord,0,0,13,0,1,0,14,0.1 %
10,10 - Nord-du-Québec,0,0,1,0,0,0,1,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,15,22,0,13,0,50,0.4 %
12,12 - Chaudière-Appalaches,5,139,192,9,153,6,504,3.7 %
13,13 - Laval,3,524,228,57,197,7,1016,7.5 %
14,14 - Lanaudière,3,303,206,20,142,5,679,5.0 %
15,15 - Laurentides,63,222,200,62,97,13,657,4.9 %
16,16 - Montérégie,16,675,657,68,529,10,1955,14.5 %
17,17 - Nunavik,0,0,9,0,0,0,9,0.1 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,9,0,0,1,10,0.1 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,1,0,0,0,1,0.0 %
999,Ensemble du Québec (n),333,5748,4039,477,2719,179,13495,
9999,Ensemble du Québec (%),2.5 %,42.6 %,29.9 %,3.5 %,20.1 %,1.3 %,.,100.0 %

