,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,21086,26,21047,39,176,0,20638,272,197738.33333,10663.59,137.61,89.01,16,906,0
02,02 - Saguenay-Lac-Saint-Jean,30638,17,30277,361,448,0,29946,244,278600,10997.13,87.58,160.80,14,1628,1
03,03 - Capitale-Nationale,89395,79,89034,361,1570,2,87027,798,761103.66667,11745.44,104.10,206.28,57,4385,8
04,04 - Mauricie et Centre-du-Québec,59321,37,59081,240,1012,0,57916,393,527666.66667,11242.14,74.11,191.79,27,3215,5
05,05 - Estrie,50081,38,49557,524,626,0,49055,400,502406,9968.23,78.74,124.60,27,2793,1
06,06 - Montréal,311285,171,307926,3359,5510,5,303901,1874,2061667.3333,15098.70,90.47,267.26,109,16315,13
07,07 - Outaouais,40080,22,39635,445,318,0,39497,265,405378.66667,9887.05,64.68,78.45,14,1882,1
08,08 - Abitibi-Témiscamingue,11192,21,11151,41,113,0,10937,142,147876.33333,7568.49,95.98,76.42,18,658,1
09,09 - Côte-Nord,8942,31,8916,26,46,0,8620,276,90082.333333,9926.47,307.80,51.06,15,544,6
10,10 - Nord-du-Québec,1547,2,1314,233,4,0,1533,10,13383.666667,11558.87,75.17,29.89,1,55,0
11,11 - Gaspésie-Îles-de-la-Madeleine,9231,8,9194,37,82,0,9006,143,90783.333333,10168.17,157.32,90.32,9,452,0
12,12 - Chaudière-Appalaches,61605,40,61322,283,669,0,60602,334,434525.66667,14177.53,76.51,153.96,16,2576,3
13,13 - Laval,71969,51,70009,1960,1121,0,70445,403,445993.33333,16136.79,89.53,251.35,22,3306,5
14,14 - Lanaudière,70202,57,69486,716,779,1,69067,356,530581,13231.16,66.29,146.82,27,2846,2
15,15 - Laurentides,80202,73,79597,605,766,0,78752,684,640046.66667,12530.65,105.44,119.68,37,3815,3
16,16 - Montérégie,150626,136,148712,1914,2254,1,147161,1211,1452381.3333,10370.97,82.56,155.19,79,8299,17
17,17 - Nunavik,3029,1,3023,6,10,0,3006,13,14619,20719.61,87.42,68.40,1,111,0
18,18 - Terres-Cries-de-la-Baie-James,2974,2,2578,396,17,0,2935,22,18660.333333,15937.55,115.97,91.10,2,101,0
98,Inconnu,0,0,0,0,0,0,0,0,.,.,.,.,0,388,0
99,Hors Québec,2977,0,2969,8,2,0,2954,21,.,.,.,.,2,0,0
999,Ensemble du Québec,1076382,812,1064828,11554,15523,9,1052998,7861,8613493.6667,12496.46,90.59,180.22,493,54275,66

