,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,19847,48,19808,39,162,1,18732,953,197738.33333,10037.00,482.13,81.93,87,778,6
02,02 - Saguenay-Lac-Saint-Jean,29331,67,28970,361,420,1,27910,1001,278600,10528.00,359.30,150.75,96,1517,11
03,03 - Capitale-Nationale,86159,131,85798,361,1516,5,82252,2391,761103.66667,11320.27,311.91,199.18,217,4014,14
04,04 - Mauricie et Centre-du-Québec,57371,126,57131,240,981,4,54304,2086,527666.66667,10872.58,393.37,185.91,175,3006,13
05,05 - Estrie,48116,93,47592,524,586,1,45891,1639,502406,9577.11,322.65,116.64,111,2541,5
06,06 - Montréal,303152,353,299792,3360,5427,2,292730,4995,2061667.3333,14704.22,241.13,263.23,412,15507,40
07,07 - Outaouais,38925,54,38478,447,304,3,37796,825,405378.66667,9602.13,201.35,74.99,85,1732,4
08,08 - Abitibi-Témiscamingue,10490,41,10449,41,108,0,10045,337,147876.33333,7093.77,227.79,73.03,44,599,3
09,09 - Côte-Nord,7993,39,7967,26,43,0,7551,399,90082.333333,8872.99,444.97,47.73,50,446,2
10,10 - Nord-du-Québec,1393,1,1175,218,4,0,1362,27,13383.666667,10408.21,202.95,29.89,11,46,2
11,11 - Gaspésie-Îles-de-la-Madeleine,8709,29,8671,38,79,0,8296,334,90783.333333,9593.17,367.45,87.02,46,395,3
12,12 - Chaudière-Appalaches,60010,73,59727,283,610,0,57994,1406,434525.66667,13810.46,322.06,140.38,155,2409,10
13,13 - Laval,70346,61,68385,1961,1095,0,68311,940,445993.33333,15772.88,208.83,245.52,159,3113,6
14,14 - Lanaudière,68348,106,67632,716,748,2,66293,1307,530581,12881.73,243.38,140.98,130,2664,10
15,15 - Laurentides,77264,151,76658,606,735,6,74605,1924,640046.66667,12071.62,296.58,114.84,132,3412,17
16,16 - Montérégie,144951,257,143039,1912,2133,1,139084,3734,1452381.3333,9980.23,254.57,146.86,345,7581,41
17,17 - Nunavik,2958,3,2952,6,10,0,2907,41,14619,20233.94,275.70,68.40,4,97,0
18,18 - Terres-Cries-de-la-Baie-James,2856,13,2464,392,14,0,2682,160,18660.333333,15305.19,843.39,75.03,13,88,1
98,Inconnu,0,0,0,0,0,0,0,0,.,.,.,.,0,378,2
99,Hors Québec,2856,3,2848,8,2,0,2816,38,.,.,.,.,3,0,0
999,Ensemble du Québec,1041075,1649,1029536,11539,14977,26,1001561,24537,8613493.6667,12086.56,282.78,173.88,2275,50323,190

