,,Nombre de cas confirmé,,,Nombre de décès,,,,,,Nombre d'hospitalisations,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée,Total,Confirmé dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée,Population en 2023,Cas de COVID-19 par 100 000,Décès par COVID-19 par 100 000,Total,Différence dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée
01,01 - Bas-Saint-Laurent,30219,15,65,283,0,3,199471.5,.,.,2037,2,24
02,02 - Saguenay-Lac-Saint-Jean,40957,17,65,522,0,1,280734.5,.,.,2877,4,19
03,03 - Capitale-Nationale,115777,35,180,1817,0,6,765935.75,.,.,7653,5,51
04,04 - Mauricie et Centre-du-Québec,77816,26,121,1193,1,0,535227.5,.,.,6029,2,37
05,05 - Estrie,66407,22,138,857,0,2,510448.25,.,.,4825,15,24
06,06 - Montréal,362180,73,340,5801,0,8,2044355.75,.,.,23661,14,95
07,07 - Outaouais,45720,4,46,475,0,1,407054,.,.,3075,1,5
08,08 - Abitibi-Témiscamingue,14761,0,24,169,0,2,148400.5,.,.,1380,1,5
09,09 - Côte-Nord,13580,3,17,110,0,1,90467.75,.,.,1134,0,5
10,10 - Nord-du-Québec,1964,1,2,11,0,0,13363.5,.,.,104,0,0
11,11 - Gaspésie-Îles-de-la-Madeleine,13781,8,50,136,0,2,92140.75,.,.,972,2,6
12,12 - Chaudière-Appalaches,77711,24,107,826,0,1,439816.25,.,.,4645,5,14
13,13 - Laval,83722,9,68,1156,0,4,446209,.,.,5061,5,21
14,14 - Lanaudière,85535,35,98,838,1,3,538927.25,.,.,4743,8,28
15,15 - Laurentides,101010,21,108,922,1,4,652170,.,.,6804,7,31
16,16 - Montérégie,191385,46,434,2614,2,10,1464216,.,.,14690,12,88
17,17 - Nunavik,3631,0,1,10,0,0,14677,.,.,179,0,0
18,18 - Terres-Cries-de-la-Baie-James,3109,0,1,17,0,0,18814.75,.,.,171,0,0
98,Inconnu,1259,0,1,8,-2,-17,.,.,.,579,0,6
99,Hors Québec,7360,0,2,0,0,0,.,.,.,0,0,0
999,Ensemble du Québec,1337884,339,1868,17765,3,31,8662430,.,.,90619,83,459

