No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,3,8,6,4,9,0,30,0.3 %
2,02 - Saguenay–Lac-Saint-Jean,1,92,73,3,85,8,262,2.7 %
3,03 - Capitale-Nationale,3,480,126,18,276,24,927,9.4 %
4,04 - Mauricie et Centre-du-Québec,6,143,180,21,96,5,451,4.6 %
5,05 - Estrie,3,118,46,17,83,10,277,2.8 %
6,06 - Montréal,200,2692,642,122,607,64,4327,44.0 %
7,07 - Outaouais,8,62,32,11,39,1,153,1.6 %
8,08 - Abitibi-Témiscamingue,0,0,4,0,1,0,5,0.1 %
9,09 - Côte-Nord,0,0,3,0,0,0,3,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie–Îles-de-la-Madeleine,0,15,17,0,13,0,45,0.5 %
12,12 - Chaudière-Appalaches,5,98,62,6,85,4,260,2.6 %
13,13 - Laval,2,498,113,51,165,6,835,8.5 %
14,14 - Lanaudière,3,248,102,11,102,2,468,4.8 %
15,15 - Laurentides,62,162,81,44,77,13,439,4.5 %
16,16 - Montérégie,15,578,282,54,405,8,1342,13.7 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,1,0,0,1,2,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),311,5194,1770,362,2043,146,9826,
9999,Ensemble du Québec (%),3.2 %,52.9 %,18.0 %,3.7 %,20.8 %,1.5 %,           .,100.0 %
