Groupe d'âge;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
0-4 ans;n.d.;147;133,8;4632;4217;0;;0;
5-9 ans;n.d.;207;192,4;6186;5750,1;0;;0;
10-19 ans;n.d.;522;262,4;14245;7161,4;0;;0;
20-29 ans;n.d.;627;192,6;21871;6717,6;0;;< 5;n.p.
30-39 ans;n.d.;409;124,6;19966;6083,2;0;;7;n.p.
40-49 ans;n.d.;407;146,6;19407;6991,1;< 5;n.p.;22;* 7,9
50-59 ans;n.d.;349;136,1;15986;6232,4;< 5;n.p.;100;39
60-69 ans;n.d.;145;67;9782;4521,7;5;n.p.;322;148,8
70-79 ans;n.d.;76;52,6;6390;4421,9;6;n.p.;827;572,3
80 ans et +;n.d.;67;66,6;11905;11835,1;15;* 14,9;3452;3431,7
Manquant;n.d.;0;;96;;0;;0;
Total;114;2956;143,1;130466;6316;31;* 1,5;4733;229,1
