Régions sociosanitaires;2021-05-23;2021-05-24;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;14;8;3 876
02 - Saguenay – Lac-Saint-Jean;16;11;10 826
03 - Capitale-Nationale;18;18;32 453
04 - Mauricie-et-Centre-du-Québec;14;10;15 003
05 - Estrie;63;31;14 536
06 - Montréal;160;114;130 466
07 - Outaouais;19;16;12 070
08 - Abitibi-Témiscamingue;0;0;1 111
09 - Côte-Nord;0;1;570
10 - Nord-du-Québec;0;0;109
11 - Gaspésie – Îles-de-la-Madeleine;0;2;1 993
12 - Chaudière-Appalaches;19;32;18 709
13 - Laval;23;18;31 065
14 - Lanaudière;13;15;23 701
15 - Laurentides;16;26;20 624
16 - Montérégie;57;37;50 456
17 - Nunavik;0;0;47
18 - Terres-Cries-de-la-Baie-James;0;0;119
Hors Québec;1;7;418
Région à déterminer;0;0;3
Total;433;346;368 155
