RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,150,0,0,0,150,1181,600.12,"91,7","100,0"
02 - Saguenay–Lac-Saint-Jean,44,0,1,0,45,838,302.11,"94,5","92,3"
03 - Capitale-Nationale,564,3,5,18,590,7775,"1,022.83","97,8","88,7"
04 - Mauricie et Centre-du-Québec,56,0,0,2,58,1285,245.08,"80,0","90,2"
05 - Estrie,91,0,14,1,106,2112,425.15,"96,9","92,5"
06 - Montréal,3096,97,135,53,3381,12815,616.56,"89,3","90,7"
07 - Outaouais,440,13,22,7,482,3579,884.89,"97,9","100,0"
08 - Abitibi-Témiscamingue,0,166,0,0,166,243,164.57,"100,0","100,0"
09 - Côte-Nord,6,0,0,0,6,149,166.73,"100,0","100,0"
10 - Nord-du-Québec,0,0,0,0,0,14,103.82,"100,0","50,0"
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,148,165.09,"77,3","94,1"
12 - Chaudière-Appalaches,314,0,6,0,320,3185,737.42,"90,7","88,2"
13 - Laval,393,12,15,8,428,2978,666.86,"91,8","92,3"
14 - Lanaudière,261,24,8,8,301,1552,295.82,"85,4","89,8"
15 - Laurentides,386,12,38,11,447,2324,366.85,"95,0","88,2"
16 - Montérégie,257,12,91,7,367,3921,271.59,"89,1","88,5"
Inconnu,0,1,0,0,1,715,,"100,0","100,0"
Hors Québec,33,7,1,1,42,84,,"80,0","100,0"
Ensemble du Québec,6091,347,336,116,6890,44898,522.56,"91,0","90,8"
