No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,13,144,8,26,0,194,1.2 %
02,02 - Saguenay-Lac-Saint-Jean,0,139,165,11,138,12,465,2.9 %
03,03 - Capitale-Nationale,7,638,410,41,481,36,1613,10.2 %
04,04 - Mauricie et Centre-du-Québec,4,157,728,22,114,5,1030,6.5 %
05,05 - Estrie,4,183,214,26,186,16,629,4.0 %
06,06 - Montréal,217,2847,1442,159,811,79,5555,35.1 %
07,07 - Outaouais,11,95,132,15,65,4,322,2.0 %
08,08 - Abitibi-Témiscamingue,3,39,51,6,19,1,119,0.8 %
09,09 - Côte-Nord,0,0,49,0,1,0,50,0.3 %
10,10 - Nord-du-Québec,0,0,4,0,0,0,4,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,16,53,0,13,0,82,0.5 %
12,12 - Chaudière-Appalaches,5,171,290,11,199,6,682,4.3 %
13,13 - Laval,6,552,288,59,218,11,1134,7.2 %
14,14 - Lanaudière,3,323,272,26,176,5,805,5.1 %
15,15 - Laurentides,63,259,278,64,109,14,787,5.0 %
16,16 - Montérégie,16,727,862,76,620,13,2314,14.6 %
17,17 - Nunavik,0,0,10,0,0,0,10,0.1 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,16,0,0,1,17,0.1 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,2,0,0,0,2,0.0 %
999,Ensemble du Québec (n),342,6159,5410,524,3176,203,15814,
9999,Ensemble du Québec (%),2.2 %,38.9 %,34.2 %,3.3 %,20.1 %,1.3 %,.,100.0 %

