Groupe d'âge;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
0-4 ans;339;1,2;305,8;0;
5-9 ans;307;1,1;284,3;0;
10-19 ans;1051;3,8;528,4;0;
20-29 ans;3311;12,1;1027,9;< 5;n.p.
30-39 ans;3504;12,8;1066,5;< 5;n.p.
40-49 ans;3783;13,8;1359,1;15;*5,4
50-59 ans;3442;12,6;1341;65;25,3
60-69 ans;2375;8,7;1096,7;216;99,7
70-79 ans;2404;8,8;1661,3;590;407,7
80 ans et +;6858;25,1;6787,3;2522;2496
Manquant;87;;;;
Total;27461;;1329,4;3415;165,3
