RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.617,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,169,0,0,0,169,1250,635.18,88.9,75
02 - Saguenay–Lac-Saint-Jean,82,0,2,0,84,1010,364.12,100,83.3
03 - Capitale-Nationale,624,3,9,0,636,8001,"1,052.56",100,87.5
04 - Mauricie et Centre-du-Québec,102,0,0,3,105,1392,265.49,100,64.7
05 - Estrie,92,0,15,1,108,2409,484.93,96.7,89.7
06 - Montréal,3226,123,209,21,3579,14267,686.42,90.1,87.9
07 - Outaouais,481,16,34,0,531,3839,949.18,90.3,96.4
08 - Abitibi-Témiscamingue,0,177,0,0,177,261,176.76,.,.
09 - Côte-Nord,10,0,0,0,10,150,167.85,.,.
10 - Nord-du-Québec,0,1,0,0,1,16,118.65,.,.
11 - Gaspésie–Îles-de-la-Madeleine,8,0,0,0,8,187,208.59,81.8,88.9
12 - Chaudière-Appalaches,478,2,11,0,491,3487,807.34,98.3,81.4
13 - Laval,417,13,18,1,449,3208,718.36,98.1,94.3
14 - Lanaudière,282,32,11,0,325,1731,329.94,86,83.7
15 - Laurentides,447,16,47,0,510,2529,399.21,85.4,80
16 - Montérégie,324,17,129,7,477,4366,302.42,83.5,86.8
Inconnu,0,1,0,0,1,718,,.,.
Hors Québec,47,9,3,2,61,102,,.,.
Ensemble du Québec,6789,410,488,35,7722,48923,569.41,"90,9","87,0"
