Régions sociosanitaires;2021-06-13;2021-06-14;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;1;-1;3 943
02 - Saguenay – Lac-Saint-Jean;0;0;10 998
03 - Capitale-Nationale;7;7;32 711
04 - Mauricie-et-Centre-du-Québec;1;1;15 157
05 - Estrie;4;2;14 841
06 - Montréal;48;26;132 109
07 - Outaouais;5;12;12 385
08 - Abitibi-Témiscamingue;1;2;1 140
09 - Côte-Nord;0;0;572
10 - Nord-du-Québec;0;0;109
11 - Gaspésie – Îles-de-la-Madeleine;2;0;2 052
12 - Chaudière-Appalaches;9;8;19 204
13 - Laval;14;4;31 414
14 - Lanaudière;9;17;23 926
15 - Laurentides;5;6;20 899
16 - Montérégie;14;19;51 133
17 - Nunavik;0;0;47
18 - Terres-Cries-de-la-Baie-James;0;0;119
Hors Québec;3;2;455
Région à déterminer;0;0;3
Total;123;105;373 217
