"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;45663
02 - Saguenay - Lac-Saint-Jean;64811
03 - Capitale-Nationale;161030
04 - Mauricie et Centre-du-Québec;114018
05 - Estrie;96044
06 - Montréal;553793
07 - Outaouais;81987
08 - Abitibi-Témiscamingue;28596
09 - Côte-Nord;33349
10 - Nord-du-Québec;9337
11 - Gaspésie - Îles-de-la-Madeleine;33689
12 - Chaudière-Appalaches;87753
13 - Laval;98410
14 - Lanaudière;107625
15 - Laurentides;119181
16 - Montérégie;286386
17 - Nunavik;6056
18 - Terres-Cries-de-la-Baie-James;14972
Inconnue;2177
Total;1944877
