RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours)
01 - Bas-Saint-Laurent,67,0,0,0,67,725,368.40,97.8
02 - Saguenay–Lac-Saint-Jean,0,0,0,0,0,210,75.71,58.3
03 - Capitale-Nationale,230,2,0,3,235,5659,744.46,98.3
04 - Mauricie et Centre-du-Québec,11,0,0,0,11,495,94.41,84.8
05 - Estrie,49,0,1,0,50,528,106.29,71.7
06 - Montréal,1868,12,6,6,1892,6826,328.42,69.5
07 - Outaouais,223,2,0,5,230,2267,560.51,85.5
08 - Abitibi-Témiscamingue,0,132,0,0,132,219,148.32,66.7
09 - Côte-Nord,0,0,0,0,0,36,40.28,100
10 - Nord-du-Québec,0,0,0,0,0,0,0.00,.
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,41,45.73,94.7
12 - Chaudière-Appalaches,127,0,0,0,127,1225,283.62,97.4
13 - Laval,212,3,0,5,220,1611,360.75,76.3
14 - Lanaudière,144,5,1,1,151,777,148.10,70.1
15 - Laurentides,184,6,3,0,193,1181,186.42,76.6
16 - Montérégie,114,3,3,0,120,1695,117.41,70.1
Inconnu,0,1,0,0,1,827,,72.9
Hors Québec,13,0,0,1,14,38,,87.5
Ensemble du Québec,3242,166,14,21,3443,24360,283.52,80.1
