"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;63122
02 - Saguenay - Lac-Saint-Jean;84982
03 - Capitale-Nationale;221897
04 - Mauricie et Centre-du-Québec;147416
05 - Estrie;130761
06 - Montréal;676293
07 - Outaouais;107151
08 - Abitibi-Témiscamingue;37296
09 - Côte-Nord;37841
10 - Nord-du-Québec;9747
11 - Gaspésie - Îles-de-la-Madeleine;40369
12 - Chaudière-Appalaches;124151
13 - Laval;121915
14 - Lanaudière;141113
15 - Laurentides;159042
16 - Montérégie;373756
17 - Nunavik;7390
18 - Terres-Cries-de-la-Baie-James;17409
Inconnue;2259
Total;2503910
