Régions;Nombre de doses de vaccins administrées
01-   Bas-Saint-Laurent;5951
02 - Saguenay – Lac-Saint-Jean;9242
03 - Capitale-Nationale;26995
04 - Mauricie-et-Centre-du-Québec;13740
05 - Estrie;11073
06 - Montréal;72 771
07 - Outaouais;8773
08 - Abitibi-Témiscamingue;6478
09 - Côte-Nord;6854
10 - Nord-du-Québec;5692
11 - Gaspésie – Îles-de-la-Madeleine;7549
12 - Chaudière-Appalaches;10714
13 - Laval;9638
14 - Lanaudière;11281
15 - Laurentides;12568
16 - Montérégie;35276
17 - Nunavik;1433
18 - Terres-Cries-de-la-Baie-James;9386
Inconnu;1176
Total;266 590
