No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,3,8,6,4,9,0,30,0.3 %
2,02 - Saguenay–Lac-Saint-Jean,1,93,73,3,85,8,263,2.6 %
3,03 - Capitale-Nationale,3,491,132,23,282,24,955,9.4 %
4,04 - Mauricie et Centre-du-Québec,6,148,205,21,97,5,482,4.8 %
5,05 - Estrie,3,123,49,17,85,11,288,2.8 %
6,06 - Montréal,200,2705,679,125,629,68,4406,43.6 %
7,07 - Outaouais,8,63,32,12,40,1,156,1.5 %
8,08 - Abitibi-Témiscamingue,0,0,6,0,1,0,7,0.1 %
9,09 - Côte-Nord,0,0,3,0,0,0,3,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie–Îles-de-la-Madeleine,0,15,17,0,13,0,45,0.4 %
12,12 - Chaudière-Appalaches,5,104,66,6,92,4,277,2.7 %
13,13 - Laval,2,505,118,51,169,6,851,8.4 %
14,14 - Lanaudière,3,249,107,11,106,2,478,4.7 %
15,15 - Laurentides,62,168,84,48,79,13,454,4.5 %
16,16 - Montérégie,15,597,308,58,429,8,1415,14.0 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,1,0,0,1,2,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),311,5269,1886,379,2116,151,10112,
9999,Ensemble du Québec (%),3.1 %,52.1 %,18.7 %,3.7 %,20.9 %,1.5 %,           .,100.0 %
