Groupe d'âge;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
0-4 ans;33;229;208,5;6201;5645,4;0;;0;
5-9 ans;69;621;577,2;9601;8924,5;0;;0;
10-19 ans;51;556;279,5;18653;9377,4;0;;0;
20-29 ans;40;370;113,6;26887;8258,2;0;;< 5;n.p.
30-39 ans;68;564;171,8;24305;7405,3;< 5;n.p.;8;n.p.
40-49 ans;61;605;217,9;23080;8314,3;< 5;n.p.;27;* 9,7
50-59 ans;44;354;138;18247;7113,8;< 5;n.p.;117;45,6
60-69 ans;15;170;78,6;10964;5068,1;< 5;n.p.;345;159,5
70-79 ans;11;77;53,3;7068;4891,1;< 5;n.p.;853;590,3
80 ans et +;< 5;66;65,6;12409;12336,1;< 5;n.p.;3510;3489,4
Manquant;0;< 5;;90;;0;;0;
Total;394;3613;174,9;157505;7624,9;10;* 0,5;4863;235,4
