No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,13,102,6,25,0,149,1.0 %
02,02 - Saguenay-Lac-Saint-Jean,0,118,143,10,123,11,405,2.7 %
03,03 - Capitale-Nationale,5,613,348,39,445,35,1485,10.1 %
04,04 - Mauricie et Centre-du-Québec,5,157,649,22,114,5,952,6.5 %
05,05 - Estrie,3,156,198,26,169,16,568,3.9 %
06,06 - Montréal,216,2826,1339,158,785,79,5403,36.7 %
07,07 - Outaouais,11,94,112,15,62,4,298,2.0 %
08,08 - Abitibi-Témiscamingue,3,33,46,6,16,1,105,0.7 %
09,09 - Côte-Nord,0,0,41,0,1,0,42,0.3 %
10,10 - Nord-du-Québec,0,0,4,0,0,0,4,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,16,48,0,13,0,77,0.5 %
12,12 - Chaudière-Appalaches,5,151,247,10,179,6,598,4.1 %
13,13 - Laval,4,536,264,59,203,8,1074,7.3 %
14,14 - Lanaudière,3,311,236,22,163,5,740,5.0 %
15,15 - Laurentides,63,249,234,64,99,13,722,4.9 %
16,16 - Montérégie,16,703,725,70,568,10,2092,14.2 %
17,17 - Nunavik,0,0,10,0,0,0,10,0.1 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,13,0,0,1,14,0.1 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,2,0,0,0,2,0.0 %
999,Ensemble du Québec (n),337,5976,4761,507,2965,194,14740,
9999,Ensemble du Québec (%),2.3 %,40.5 %,32.3 %,3.4 %,20.1 %,1.3 %,.,100.0 %

