,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,19260,115,19221,39,149,2,17881,1230,197738.33333,9740.14,622.27,75.35,84,717,8
02,02 - Saguenay-Lac-Saint-Jean,28618,103,28257,361,405,1,27052,1161,278600,10272.07,416.73,145.37,89,1443,16
03,03 - Capitale-Nationale,84422,228,84061,361,1485,2,80334,2603,761103.66667,11092.05,339.56,195.11,197,3859,22
04,04 - Mauricie et Centre-du-Québec,56138,213,55898,240,952,4,52719,2467,527666.66667,10638.91,465.22,180.42,155,2892,15
05,05 - Estrie,47020,152,46496,524,568,5,44823,1629,502406,9358.96,320.68,113.06,102,2392,22
06,06 - Montréal,299470,385,296107,3363,5403,2,288801,5266,2061667.3333,14525.62,254.21,262.07,392,15133,55
07,07 - Outaouais,38265,81,37819,446,298,0,37035,932,405378.66667,9439.32,227.46,73.51,58,1656,2
08,08 - Abitibi-Témiscamingue,10177,77,10136,41,105,0,9617,455,147876.33333,6882.10,307.56,71.01,39,572,1
09,09 - Côte-Nord,7711,44,7685,26,42,0,7154,515,90082.333333,8559.95,574.34,46.62,29,422,10
10,10 - Nord-du-Québec,1327,10,1115,212,4,0,1282,41,13383.666667,9915.07,308.18,29.89,3,41,0
11,11 - Gaspésie-Îles-de-la-Madeleine,8470,53,8433,37,77,1,7871,522,90783.333333,9329.91,574.28,84.82,24,371,3
12,12 - Chaudière-Appalaches,59155,150,58872,283,598,0,56677,1880,434525.66667,13613.70,430.63,137.62,114,2299,10
13,13 - Laval,69577,111,67616,1961,1074,4,67353,1150,445993.33333,15600.46,255.49,240.81,65,3023,24
14,14 - Lanaudière,67309,110,66593,716,740,1,65073,1496,530581,12685.90,278.58,139.47,111,2574,6
15,15 - Laurentides,75788,128,75182,606,722,2,73101,1965,640046.66667,11841.01,302.91,112.80,152,3273,18
16,16 - Montérégie,142245,341,140333,1912,2092,2,135991,4162,1452381.3333,9793.92,283.74,144.04,269,7215,32
17,17 - Nunavik,2922,1,2916,6,10,0,2863,49,14619,19987.69,329.50,68.40,3,90,0
18,18 - Terres-Cries-de-la-Baie-James,2736,24,2349,387,14,0,2524,198,18660.333333,14662.12,1043.70,75.03,16,84,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0,363,-2
99,Hors Québec,2822,4,2814,8,2,0,2785,35,.,.,.,.,2,0,0
999,Ensemble du Québec,1023436,2330,1011906,11530,14740,26,980940,27756,8613493.6667,11881.78,319.87,171.13,1904,48419,242

