RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000
01 - Bas-Saint-Laurent,0,0,0,0,0,271,137.71
02 - Saguenay–Lac-Saint-Jean,0,0,0,0,0,20,7.21
03 - Capitale-Nationale,44,1,0,0,45,1318,173.39
04 - Mauricie et Centre-du-Québec,4,0,0,0,4,96,18.31
05 - Estrie,12,0,0,0,12,117,23.55
06 - Montréal,731,6,1,5,743,3394,163.29
07 - Outaouais,12,0,0,0,12,618,152.80
08 - Abitibi-Témiscamingue,0,115,0,0,115,188,127.32
09 - Côte-Nord,0,0,0,0,0,0,0.00
10 - Nord-du-Québec,0,0,0,0,0,0,0.00
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,0,0.00
12 - Chaudière-Appalaches,2,0,0,0,2,367,84.97
13 - Laval,55,0,0,1,56,760,170.19
14 - Lanaudière,23,5,0,0,28,304,57.94
15 - Laurentides,70,4,1,0,75,459,72.45
16 - Montérégie,36,3,0,0,39,543,37.61
Inconnu,0,1,0,0,1,316,
Hors Québec,6,0,0,1,7,16,
Ensemble du Québec,995,135,2,7,1139,8787,102.27
