No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,13,104,6,25,0,151,1.0 %
02,02 - Saguenay-Lac-Saint-Jean,0,119,145,10,124,11,409,2.8 %
03,03 - Capitale-Nationale,6,613,352,39,448,35,1493,10.1 %
04,04 - Mauricie et Centre-du-Québec,5,157,651,22,114,5,954,6.5 %
05,05 - Estrie,3,156,199,26,169,16,569,3.9 %
06,06 - Montréal,216,2827,1340,158,785,79,5405,36.6 %
07,07 - Outaouais,11,94,112,15,62,4,298,2.0 %
08,08 - Abitibi-Témiscamingue,3,33,46,6,16,1,105,0.7 %
09,09 - Côte-Nord,0,0,42,0,1,0,43,0.3 %
10,10 - Nord-du-Québec,0,0,4,0,0,0,4,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,16,48,0,13,0,77,0.5 %
12,12 - Chaudière-Appalaches,5,151,249,10,180,6,601,4.1 %
13,13 - Laval,4,536,267,59,204,8,1078,7.3 %
14,14 - Lanaudière,3,311,236,22,163,5,740,5.0 %
15,15 - Laurentides,63,249,234,64,99,13,722,4.9 %
16,16 - Montérégie,16,704,731,70,572,10,2103,14.2 %
17,17 - Nunavik,0,0,10,0,0,0,10,0.1 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,13,0,0,1,14,0.1 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,2,0,0,0,2,0.0 %
999,Ensemble du Québec (n),338,5979,4785,507,2975,194,14778,
9999,Ensemble du Québec (%),2.3 %,40.5 %,32.4 %,3.4 %,20.1 %,1.3 %,.,100.0 %

