,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,19371,111,19332,39,151,2,17957,1263,197738.33333,9796.28,638.97,76.36,76,723,6
02,02 - Saguenay-Lac-Saint-Jean,28724,106,28363,361,409,4,27149,1166,278600,10310.12,418.53,146.81,97,1451,8
03,03 - Capitale-Nationale,84719,297,84358,361,1493,8,80525,2701,761103.66667,11131.07,352.34,196.16,191,3871,12
04,04 - Mauricie et Centre-du-Québec,56316,178,56076,240,954,2,52875,2487,527666.66667,10672.65,468.99,180.80,156,2908,16
05,05 - Estrie,47205,185,46681,524,569,1,44928,1708,502406,9395.79,336.23,113.26,105,2428,36
06,06 - Montréal,300056,586,296693,3363,5405,2,289216,5435,2061667.3333,14554.05,262.37,262.17,415,15186,53
07,07 - Outaouais,38383,118,37937,446,298,0,37088,997,405378.66667,9468.43,243.33,73.51,53,1667,11
08,08 - Abitibi-Témiscamingue,10233,56,10192,41,105,0,9652,476,147876.33333,6919.97,321.75,71.01,35,580,8
09,09 - Côte-Nord,7765,54,7739,26,43,1,7191,531,90082.333333,8619.89,592.18,47.73,37,423,1
10,10 - Nord-du-Québec,1339,12,1127,212,4,0,1294,41,13383.666667,10004.73,308.18,29.89,12,41,0
11,11 - Gaspésie-Îles-de-la-Madeleine,8501,31,8464,37,77,0,7936,488,90783.333333,9364.05,536.88,84.82,65,373,2
12,12 - Chaudière-Appalaches,59324,169,59041,283,601,3,56825,1898,434525.66667,13652.59,434.75,138.31,148,2316,17
13,13 - Laval,69703,126,67742,1961,1078,4,67449,1176,445993.33333,15628.71,261.26,241.71,96,3034,11
14,14 - Lanaudière,67507,198,66791,716,740,0,65204,1563,530581,12723.22,291.06,139.47,131,2589,15
15,15 - Laurentides,76024,236,75418,606,722,0,73264,2038,640046.66667,11877.88,314.16,112.80,163,3283,10
16,16 - Montérégie,142669,424,140757,1912,2103,11,136300,4266,1452381.3333,9823.11,290.83,144.80,309,7256,41
17,17 - Nunavik,2929,7,2923,6,10,0,2866,53,14619,20035.57,356.40,68.40,3,90,0
18,18 - Terres-Cries-de-la-Baie-James,2747,11,2360,387,14,0,2540,193,18660.333333,14721.07,1017.34,75.03,16,85,1
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0,363,0
99,Hors Québec,2826,4,2818,8,2,0,2787,37,.,.,.,.,2,0,0
999,Ensemble du Québec,1026345,2909,1014815,11530,14778,38,983050,28517,8613493.6667,11915.55,328.64,171.57,2110,48667,248

