No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,13,119,7,25,0,167,1.1 %
02,02 - Saguenay-Lac-Saint-Jean,0,123,150,10,133,12,428,2.8 %
03,03 - Capitale-Nationale,7,617,371,39,458,35,1527,10.1 %
04,04 - Mauricie et Centre-du-Québec,4,157,690,22,114,5,992,6.6 %
05,05 - Estrie,4,169,206,26,179,16,600,4.0 %
06,06 - Montréal,216,2833,1367,158,795,79,5448,36.0 %
07,07 - Outaouais,11,94,123,15,63,4,310,2.0 %
08,08 - Abitibi-Témiscamingue,3,35,47,6,18,1,110,0.7 %
09,09 - Côte-Nord,0,0,44,0,1,0,45,0.3 %
10,10 - Nord-du-Québec,0,0,4,0,0,0,4,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,16,52,0,13,0,81,0.5 %
12,12 - Chaudière-Appalaches,5,160,262,10,187,6,630,4.2 %
13,13 - Laval,5,546,273,59,207,9,1099,7.3 %
14,14 - Lanaudière,3,312,245,25,167,5,757,5.0 %
15,15 - Laurentides,63,259,243,64,102,13,744,4.9 %
16,16 - Montérégie,16,708,764,74,600,12,2174,14.4 %
17,17 - Nunavik,0,0,10,0,0,0,10,0.1 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,14,0,0,1,15,0.1 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,2,0,0,0,2,0.0 %
999,Ensemble du Québec (n),340,6042,4986,515,3062,198,15143,
9999,Ensemble du Québec (%),2.2 %,39.9 %,32.9 %,3.4 %,20.2 %,1.3 %,.,100.0 %

