No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,3,0,4,4,5,0,16,0.2 %
2,02 - Saguenay–Lac-Saint-Jean,1,46,32,0,18,6,103,1.5 %
3,03 - Capitale-Nationale,3,242,79,3,84,5,416,6.0 %
4,04 - Mauricie et Centre-du-Québec,6,124,52,14,55,3,254,3.7 %
5,05 - Estrie,1,14,14,0,23,3,55,0.8 %
6,06 - Montréal,189,2465,357,104,441,40,3596,52.2 %
7,07 - Outaouais,6,21,15,9,21,4,76,1.1 %
8,08 - Abitibi-Témiscamingue,0,0,3,0,1,0,4,0.1 %
9,09 - Côte-Nord,0,0,2,0,0,0,2,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie–Îles-de-la-Madeleine,0,13,13,0,12,0,38,0.6 %
12,12 - Chaudière-Appalaches,5,36,29,6,40,4,120,1.7 %
13,13 - Laval,2,472,65,42,135,7,723,10.5 %
14,14 - Lanaudière,3,172,56,6,69,2,308,4.5 %
15,15 - Laurentides,59,115,55,30,61,12,332,4.8 %
16,16 - Montérégie,14,385,148,39,245,12,843,12.2 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,0,0,0,1,1,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),292,4105,924,257,1210,99,6887,
9999,Ensemble du Québec (%),4.2 %,59.6 %,13.4 %,3.7 %,17.6 %,1.4 %,           .,100.0 %
