,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,10446,105,10408,38,65,0,8193,2188,197738.33333,5282.74,1106.93,32.87,352
02,02 - Saguenay-Lac-Saint-Jean,18892,169,18594,298,285,2,15284,3323,278600,6781.05,1192.77,102.30,444
03,03 - Capitale-Nationale,56988,491,56625,363,1174,12,47447,8367,761103.66667,7487.55,1091.47,154.25,910
04,04 - Mauricie et Centre-du-Québec,37703,307,37463,240,632,6,31139,5932,527666.66667,7145.23,1118.64,119.77,756
05,05 - Estrie,34443,265,33918,525,439,8,30216,3788,502406,6855.61,745.70,87.38,475
06,06 - Montréal,244899,3223,241681,3218,4946,15,213934,26019,2061667.3333,11878.69,1256.06,239.90,3955
07,07 - Outaouais,29904,255,29462,442,224,0,23778,5902,405378.66667,7376.81,1440.43,55.26,884
08,08 - Abitibi-Témiscamingue,4269,70,4235,34,23,0,3017,1229,147876.33333,2886.87,830.74,15.55,128
09,09 - Côte-Nord,2614,52,2587,27,5,0,1682,927,90082.333333,2901.79,1033.81,5.55,106
10,10 - Nord-du-Québec,483,12,442,41,0,0,316,167,13383.666667,3608.88,1255.26,0.00,36
11,11 - Gaspésie-Îles-de-la-Madeleine,3995,55,3959,36,48,0,3213,734,90783.333333,4400.59,807.52,52.87,152
12,12 - Chaudière-Appalaches,41957,586,41682,275,417,7,35005,6535,434525.66667,9655.82,1496.90,95.97,869
13,13 - Laval,58119,552,56151,1968,961,1,50886,6272,445993.33333,13031.36,1393.40,215.47,926
14,14 - Lanaudière,53476,409,52759,717,568,2,44545,8363,530581,10078.76,1557.33,107.05,1169
15,15 - Laurentides,46377,1153,45771,606,538,1,40167,5672,640046.66667,7245.88,874.34,84.06,1283
16,16 - Montérégie,109345,916,107432,1913,1692,8,93492,14161,1452381.3333,7528.67,965.43,116.50,1814
17,17 - Nunavik,1630,19,1626,4,5,0,1283,342,14619,11149.87,2299.78,34.20,58
18,18 - Terres-Cries-de-la-Baie-James,811,52,698,113,5,0,556,250,18660.333333,4346.12,1317.80,26.79,80
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,2221,19,2213,8,1,0,1943,277,.,.,.,.,53
999,Ensemble du Québec,758576,8710,747709,10867,12028,62,646100,100448,8613493.6667,8806.83,1157.61,139.64,14450

