Groupe d'âge;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
0-4 ans;5;98;89,2;9806;8927,4;0;;0;
5-9 ans;5;70;65,1;15047;13986,8;0;;0;
10-19 ans;10;191;96;30661;15414,1;0;;0;
20-29 ans;45;839;257,7;59223;18190,1;0;;5;n.p.
30-39 ans;61;1023;311,7;53544;16313,8;< 5;n.p.;12;* 3,7
40-49 ans;66;1034;372,5;46224;16651,6;0;;34;* 12,2
50-59 ans;46;823;320,9;35304;13763,7;0;;146;56,9
60-69 ans;42;593;274,1;20435;9446;< 5;n.p.;395;182,6
70-79 ans;34;579;400,7;12329;8531,7;5;n.p.;961;665
80 ans et +;38;827;822,1;19189;19076,3;19;* 18,9;3868;3845,3
Manquant;0;< 5;;213;;0;;0;
Total;352;6079;294,3;301975;14618,8;27;* 1,3;5421;262,4
