,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,19676,53,19637,39,157,1,18506,1013,197738.33333,9950.52,512.49,79.40,87,756,9
02,02 - Saguenay-Lac-Saint-Jean,29080,68,28719,361,416,4,27684,980,278600,10437.90,351.76,149.32,61,1487,13
03,03 - Capitale-Nationale,85640,172,85279,361,1507,4,81734,2399,761103.66667,11252.08,312.95,198.00,175,3956,19
04,04 - Mauricie et Centre-du-Québec,56946,81,56706,240,971,4,53861,2114,527666.66667,10792.04,398.65,184.02,160,2967,6
05,05 - Estrie,47776,119,47252,524,582,2,45612,1582,502406,9509.44,311.43,115.84,109,2498,9
06,06 - Montréal,301975,352,298611,3364,5421,5,291752,4802,2061667.3333,14647.13,231.81,262.94,360,15385,49
07,07 - Outaouais,38740,61,38293,447,300,1,37587,853,405378.66667,9556.50,208.18,74.00,75,1717,6
08,08 - Abitibi-Témiscamingue,10396,44,10355,41,107,0,9959,330,147876.33333,7030.20,223.06,72.36,37,593,3
09,09 - Côte-Nord,7899,26,7873,26,43,0,7452,404,90082.333333,8768.64,450.55,47.73,33,440,0
10,10 - Nord-du-Québec,1371,2,1156,215,4,0,1332,35,13383.666667,10243.83,263.08,29.89,5,42,1
11,11 - Gaspésie-Îles-de-la-Madeleine,8633,33,8595,38,78,0,8198,357,90783.333333,9509.45,392.76,85.92,52,385,3
12,12 - Chaudière-Appalaches,59768,82,59485,283,606,3,57652,1510,434525.66667,13754.77,345.88,139.46,126,2376,12
13,13 - Laval,70110,68,68149,1961,1090,5,68033,987,445993.33333,15719.97,219.27,244.40,75,3091,13
14,14 - Lanaudière,68051,108,67335,716,743,0,65960,1348,530581,12825.75,251.02,140.04,115,2639,20
15,15 - Laurentides,76795,156,76189,606,729,3,74272,1794,640046.66667,11998.34,276.55,113.90,144,3352,14
16,16 - Montérégie,144131,226,142219,1912,2126,0,138236,3769,1452381.3333,9923.77,256.95,146.38,277,7466,25
17,17 - Nunavik,2946,4,2940,6,10,0,2899,37,14619,20151.86,248.81,68.40,8,96,1
18,18 - Terres-Cries-de-la-Baie-James,2816,14,2428,388,14,0,2667,135,18660.333333,15090.83,711.61,75.03,18,87,2
98,Inconnu,1,0,1,0,0,0,1,0,.,.,.,.,0,377,5
99,Hors Québec,2842,1,2834,8,2,0,2807,33,.,.,.,.,3,0,0
999,Ensemble du Québec,1035595,1670,1024058,11537,14906,32,996207,24482,8613493.6667,12022.94,282.14,173.05,1920,49710,210

