No,RSS,NoRLS,RLS,Cas,Population,Taux
1,01 - Bas-St-Laurent,0111,0111 - RLS de Kamouraska,46,20 780,"221,4"
1,01 - Bas-St-Laurent,0112,0112 - RLS de Rivière-du-Loup,70,34 800,"201,1"
1,01 - Bas-St-Laurent,0113,0113 - RLS de Témiscouata,15,19 117,"78,5"
1,01 - Bas-St-Laurent,0114,0114 - RLS des Basques,n.d.,8 529,n.d.
1,01 - Bas-St-Laurent,0115,0115 - RLS de Rimouski,30,57 630,"52,1"
1,01 - Bas-St-Laurent,0116,0116 - RLS de La Mitis,n.d.,17 978,n.d.
1,01 - Bas-St-Laurent,0117,0117 - RLS de Matane,n.d.,20 726,n.d.
1,01 - Bas-St-Laurent,0118,0118 - RLS de La Matapédia,9,17 514,"51,4"
1,01 - Bas-St-Laurent,,Total,182,197 074,"92,4"
2,02 - Saguenay – Lac-St-Jean,0211,0211 - RLS du Domaine-du-Roy,14,31 078,"45,0"
2,02 - Saguenay – Lac-St-Jean,0212,0212 - RLS de Maria-Chapdelaine,16,25 064,"63,8"
2,02 - Saguenay – Lac-St-Jean,0213,0213 - RLS de Lac-Saint-Jean-Est,45,52 298,"86,0"
2,02 - Saguenay – Lac-St-Jean,0214,0214 - RLS de Jonquière,67,67 417,"99,4"
2,02 - Saguenay – Lac-St-Jean,0215,0215 - RLS de Chicoutimi,207,79 201,"261,4"
2,02 - Saguenay – Lac-St-Jean,0216,0216 - RLS de La Baie,32,22 574,"141,8"
2,02 - Saguenay – Lac-St-Jean,,Total,382,277 632,"137,6"
3,03 - Capitale-Nationale,0311,0311 - RLS de Portneuf,77,54 895,"140,3"
3,03 - Capitale-Nationale,0312,0312 - RLS de Québec-Sud,1408,321 016,"438,6"
3,03 - Capitale-Nationale,0313,0313 - RLS de Québec-Nord,1038,351 429,"295,4"
3,03 - Capitale-Nationale,0314,0314 - RLS de Charlevoix,16,28 119,"56,9"
3,03 - Capitale-Nationale,,Total,2564,755 459,"339,4"
4,04 - Mauricie-et-Centre-du-Québec,0411,0411 - RLS du Haut-Saint-Maurice,n.d.,15 020,n.d.
4,04 - Mauricie-et-Centre-du-Québec,0412,0412 - RLS de la Vallée de la Batiscan,120,25 562,"469,4"
4,04 - Mauricie-et-Centre-du-Québec,0413,0413 - RLS de Maskinongé,253,22 961,"1 101,9"
4,04 - Mauricie-et-Centre-du-Québec,0414,0414 - RLS du Centre-de-la-Mauricie,361,64 641,"558,5"
4,04 - Mauricie-et-Centre-du-Québec,0415,0415 - RLS de Trois-Rivières,963,143 422,"671,4"
4,04 - Mauricie-et-Centre-du-Québec,0416,0416 - RLS de Bécancour - Nicolet-Yamaska,64,44 619,"143,4"
4,04 - Mauricie-et-Centre-du-Québec,0417,0417 - RLS de Drummond,347,107 872,"321,7"
4,04 - Mauricie-et-Centre-du-Québec,0418,0418 - RLS d'Arthabaska - de l'Érable,56,98 244,"57,0"
4,04 - Mauricie-et-Centre-du-Québec,,Total,2189,522 341,"419,1"
5,05 - Estrie,0511,0511 - RLS de la Pommeraie,166,56 125,"295,8"
5,05 - Estrie,0512,0512 - RLS de la Haute-Yamaska,315,105 861,"297,6"
5,05 - Estrie,0513,0513 - RLS de Memphrémagog,113,52 514,"215,2"
5,05 - Estrie,0514,0514 - RLS de Coaticook,18,18 741,"96,0"
