Arrondissement ou ville liée;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
Ahuntsic–Cartierville;2532;8,5;1886,1;359;267,4
Anjou;746;2,5;1743,2;51;119,2
Baie D'urfé;31;0,1;*810,9;< 5;n.p.
Beaconsfield;67;0,2;346,7;9;n.p.
Côte-des-Neiges–Notre-Dame-de-Grâce;2418;8,1;1452,1;261;156,7
Côte-Saint-Luc;560;1,9;1725,8;64;197,2
Dollard-des-Ormeaux;477;1,6;975,5;83;169,7
Dorval;205;0,7;1080,1;50;263,4
Hampstead;64;0,2;917,8;< 5;n.p.
Kirkland;140;0,5;694,8;23;*114,1
Lachine;713;2,4;1602,6;100;224,8
LaSalle;1318;4,4;1715;183;238,1
L'Île-Bizard–Sainte-Geneviève;225;0,8;1222;46;249,8
Mercier–Hochelaga-Maisonneuve;2534;8,5;1862,9;373;274,2
Montréal Est;48;0,2;1246,8;5;n.p.
Montréal-Nord;2702;9,1;3207,7;247;293,2
Montréal-Ouest;32;0,1;*633,7;< 5;n.p.
Mont-Royal;296;1;1459,9;77;379,8
Outremont;300;1;1252,4;11;*45,9
Pierrefonds–Roxboro;593;2;855,7;39;56,3
Plateau Mont-Royal;1124;3,8;1080,8;140;134,6
Pointe-Claire;244;0,8;777,6;41;130,7
Rivière-des-Prairies–Pointe-aux-Trembles;2280;7,6;2136;242;226,7
Rosemont–La Petite Patrie;1813;6,1;1298,8;239;171,2
Sainte-Anne-de-Bellevue;20;0,1;*403,4;< 5;n.p.
Saint-Laurent;1202;4;1216,3;120;121,4
Saint-Léonard;1238;4,2;1581;62;79,2
Senneville;< 5;0;n.p.;0;
Sud-Ouest;1084;3,6;1387,1;182;232,9
Verdun;1053;3,5;1521;159;229,7
Ville-Marie;1137;3,8;1275,1;87;97,6
Villeray–Saint-Michel–Parc-Extension;2411;8,1;1676;131;91,1
Westmount;204;0,7;1004,3;37;182,2
Territoire à confirmer;662;;;44;
Total à Montréal;30475;;1475,3;3476;168,3
