Groupe d'âge;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
0-4 ans;419;1,4;381,5;0;
5-9 ans;383;1,3;356;0;
10-19 ans;1339;4,4;673,2;0;
20-29 ans;4413;14,5;1355,4;< 5;n.p.
30-39 ans;4076;13,4;1241,9;< 5;n.p.
40-49 ans;4143;13,6;1492,5;15;*5,4
50-59 ans;3709;12,2;1446;69;26,9
60-69 ans;2535;8,3;1171,8;224;103,5
70-79 ans;2466;8,1;1706,5;594;411
80 ans et +;6905;22,7;6864,4;2567;2551,9
Manquant;87;;;;
Total;30475;;1475,3;3476;168,3
