No,RSS,CH,CHSLD,Domicile,RI,RPA,Autre,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,1,, 1,,,,2,"0,0%"
2,02 - Saguenay–Lac-Saint-Jean,,21,,,,5,26,"0,5%"
3,03 - Capitale-Nationale,2,149, 7,1,36,,195,"3,4%"
4,04 - Mauricie et Centre-du-Québec,4,124, 28,12,43,,211,"3,7%"
5,05 - Estrie,,1, 7,,15,3,26,"0,5%"
6,06 - Montréal,183,2430, 296,102,420,34,3465,"60,3%"
7,07 - Outaouais,4,18, 3,7,1,,33,"0,6%"
8,08 - Abitibi-Témiscamingue,,, 3,,1,,4,"0,1%"
9,09 - Côte-Nord,,,,,,,0,"0,0%"
10,10 - Nord-du-Québec,,,,,,,0,"0,0%"
11,11 - Gaspésie–Îles-de-la-Madeleine,,2, 2,,5,,9,"0,2%"
12,12 - Chaudière-Appalaches,1,,,,7,,8,"0,1%"
13,13 - Laval,1,452, 56,41,122,5,677,"11,8%"
14,14 - Lanaudière,3,119, 42,5,48,,217,"3,8%"
15,15 - Laurentides,58,88, 41,19,51,7,264,"4,6%"
16,16 - Montérégie,10,259, 103,30,199,8,609,"10,6%"
17,17 - Nunavik,,,,,,,0,"0,0%"
18,18 - Terres-Cries-de-la-Baie-James,,,,,,,0,"0,0%"
99,Inconnu,,,,,,,0,"0,0%"
999,Ensemble du Québec,267,3663, 589,217,948,62,5746,"100,0%"
9999,,"4,6%","63,8%","10,3%","3,8%","16,5%","1,1%","100,0%","100,0%"
