Groupe d'âge;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
0-4 ans;405;1,4;368,7;0;
5-9 ans;353;1,2;328,1;0;
10-19 ans;1255;4,2;630,9;0;
20-29 ans;4138;14;1271;< 5;n.p.
30-39 ans;3917;13,3;1193,4;< 5;n.p.
40-49 ans;4032;13,6;1452,5;15;*5,4
50-59 ans;3621;12,3;1411,7;67;26,1
60-69 ans;2493;8,4;1152,4;222;102,6
70-79 ans;2446;8,3;1692,6;594;411
80 ans et +;6891;23,3;6850,5;2560;2545
Manquant;87;;;;
Total;29638;;1434,8;3465;167,7
