Régions;Nombre de doses de vaccins administrées
01-   Bas-Saint-Laurent;6322
02 - Saguenay – Lac-Saint-Jean;9566
03 - Capitale-Nationale;29470
04 - Mauricie-et-Centre-du-Québec;14879
05 - Estrie;11985
06 - Montréal;78 685
07 - Outaouais;9567
08 - Abitibi-Témiscamingue;8324
09 - Côte-Nord;12541
10 - Nord-du-Québec;6800
11 - Gaspésie – Îles-de-la-Madeleine;7856
12 - Chaudière-Appalaches;11694
13 - Laval;10308
14 - Lanaudière;12403
15 - Laurentides;13565
16 - Montérégie;36335
17 - Nunavik;3119
18 - Terres-Cries-de-la-Baie-James;9545
Inconnu;980
Total;293 944
